user_name,n_targets_total,n_m,n_w,B_i,node_type_3class,user_type_raw,verify_typ,verify_typ_known
黄师平同学,3,1,1,1.0,ordinary,public,无认证,True
黄埔区K歌之王,6,1,1,1.0,ordinary,public,无认证,True
北京房山韩村河健康教育,2,1,1,1.0,ordinary,public,没有认证,True
乾坤赢得一闲人,10,1,1,1.0,ordinary,public,没有认证,True
爱啃榴莲酥的小灰灰,2,1,1,1.0,ordinary,public,无认证,True
静思揽月,2,1,1,1.0,ordinary,public,无认证,True
朱理明-中医肿瘤君,2,1,1,1.0,wemedia,wemedia,黄V认证,True
宝剑锋从磨砺出梅花香自苦寒来啊,3,1,1,1.0,ordinary,public,无认证,True
好运来_云霄龙,3,1,1,1.0,ordinary,public,没有认证,True
lidjepjfg,2,1,1,1.0,ordinary,public,无认证,True
森林之心无处不在,5,1,1,1.0,ordinary,public,无认证,True
琥珀柏林,27,2,3,0.8,ordinary,public,没有认证,True
独立小楼99,8,3,2,0.8,ordinary,public,没有认证,True
溧阳人在珀斯,7,2,3,0.8,ordinary,public,没有认证,True
呵呵上海2012,50,3,5,0.75,ordinary,public,没有认证,True
旅行的答案,3,1,2,0.6666666666666667,ordinary,public,无认证,True
勇敢的往前走吧,5,1,2,0.6666666666666667,ordinary,public,没有认证,True
进击非洲的小欢总,8,2,1,0.6666666666666667,ordinary,public,红V认证,True
绯香槟,4,1,2,0.6666666666666667,ordinary,public,没有认证,True
MaoTaiPianzhi茅台片仔癀,41,1,2,0.6666666666666667,ordinary,public,没有认证,True
NS_foreveryoung,7,2,1,0.6666666666666667,ordinary,public,没有认证,True
金池荷涟涟,13,1,2,0.6666666666666667,ordinary,public,没有认证,True
流了个年呀呀呀呀,3,1,2,0.6666666666666667,ordinary,public,没有认证,True
会飞的猫729,4,1,2,0.6666666666666667,ordinary,public,无认证,True
秋天日光82,3,1,2,0.6666666666666667,ordinary,public,无认证,True
伯阳先生-段本司,17,2,1,0.6666666666666667,ordinary,public,红V认证,True
方脑壳邓铂鋆,10,1,2,0.6666666666666667,ordinary,public,红V认证,True
彭国珩,4,2,1,0.6666666666666667,ordinary,public,没有认证,True
迷糊椰汁糕,3,1,2,0.6666666666666667,ordinary,public,无认证,True
Ilium,4,1,2,0.6666666666666667,ordinary,public,没有认证,True
海的家园--,3,1,2,0.6666666666666667,ordinary,public,无认证,True
ColdTone11,3,1,2,0.6666666666666667,ordinary,public,无认证,True
波浪女郎,9,1,2,0.6666666666666667,wemedia,wemedia,黄V认证,True
科比直升机,3,1,2,0.6666666666666667,ordinary,public,无认证,True
美丽可人899,6,2,1,0.6666666666666667,ordinary,public,无认证,True
huabiwei,13,1,2,0.6666666666666667,ordinary,public,没有认证,True
冉冉升起的星空公寓,4,1,2,0.6666666666666667,ordinary,public,没有认证,True
花开花邹平,4,2,1,0.6666666666666667,ordinary,public,无认证,True
Jane_eyreF,3,1,2,0.6666666666666667,ordinary,public,无认证,True
sjjsjj0613,4,1,2,0.6666666666666667,ordinary,public,无认证,True
夕阳月色美,6,1,2,0.6666666666666667,ordinary,public,没有认证,True
时光2024fhdfjjk,6,2,1,0.6666666666666667,ordinary,public,没有认证,True
吴易平的第三个围脖,5,1,2,0.6666666666666667,ordinary,public,没有认证,True
源典Joker缘一,3,2,1,0.6666666666666667,ordinary,public,无认证,True
雷神1999,42,5,2,0.5714285714285714,ordinary,public,没有认证,True
popper123123,6,1,3,0.5,ordinary,public,无认证,True
用户7821370827,16,3,1,0.5,ordinary,public,没有认证,True
吉星拱照1419,9,1,3,0.5,ordinary,public,没有认证,True
yuankong198610,15,1,3,0.5,ordinary,public,没有认证,True
清醒梦境waiting,8,1,4,0.4,ordinary,public,无认证,True
心之暖阳,8,1,4,0.4,ordinary,public,无认证,True
lavender-loyal,12,1,5,0.33333333333333337,ordinary,public,没有认证,True
我是希尔瑞思,47,21,1,0.09090909090909094,ordinary,public,没有认证,True
淄博政法,1,1,0,0.0,ordinary,other,蓝V认证,True
清角慢,1,0,1,0.0,ordinary,public,无认证,True
海滨之夏5314679228,1,0,1,0.0,ordinary,public,无认证,True
淚雨梦醒时,2,2,0,0.0,ordinary,public,无认证,True
淡莣_njo,1,1,0,0.0,ordinary,public,无认证,True
淇淇豚,1,0,1,0.0,ordinary,public,无认证,True
淘金蘑菇SSS,1,0,1,0.0,ordinary,public,无认证,True
淡紫粉绿,2,0,1,0.0,ordinary,public,没有认证,True
淡真苏打气泡酒,1,1,0,0.0,wemedia,wemedia,黄V认证,True
海淀区花园路健康教育,2,1,0,0.0,ordinary,public,没有认证,True
淡然木夜,2,1,0,0.0,ordinary,public,无认证,True
海涛不想秀,1,1,0,0.0,ordinary,public,无认证,True
涵61981,2,0,1,0.0,ordinary,public,无认证,True
清菡婳祎,1,0,1,0.0,ordinary,public,无认证,True
涨盈多多,2,0,2,0.0,ordinary,public,没有认证,True
清溪照影,1,0,1,0.0,ordinary,public,没有认证,True
清风易冷_JL,1,1,0,0.0,wemedia,wemedia,黄V认证,True
淡淡淡定定定定,1,0,1,0.0,ordinary,public,无认证,True
淡薄清静1212610847,1,0,1,0.0,ordinary,public,无认证,True
清潭洞道明寺khy,1,0,1,0.0,ordinary,public,无认证,True
清白之年无悔,1,0,1,0.0,ordinary,public,无认证,True
清石_s,1,0,1,0.0,ordinary,public,无认证,True
海洋红豆杉,1,0,1,0.0,ordinary,public,无认证,True
淡蓝色沙,1,0,1,0.0,ordinary,public,无认证,True
清纯watermelon去冰佳人,1,1,0,0.0,ordinary,public,无认证,True
液压山脉,3,0,1,0.0,ordinary,public,无认证,True
淡·幽蓝,1,0,1,0.0,ordinary,public,无认证,True
清羽墨安怜桃夭,1,0,1,0.0,ordinary,public,无认证,True
清者自清keepwalking,4,0,1,0.0,ordinary,public,没有认证,True
清茶198306,1,0,1,0.0,ordinary,public,无认证,True
清茶甜歌,1,0,1,0.0,ordinary,public,无认证,True
海王星200210,1,1,0,0.0,ordinary,public,无认证,True
海盐焦糖柠檬水ONE,1,1,0,0.0,ordinary,public,没有认证,True
淘淘阳光下的水晶球,1,0,1,0.0,ordinary,public,无认证,True
海棠树下蔷薇浓,2,0,1,0.0,ordinary,public,没有认证,True
清风6876934416,1,0,1,0.0,ordinary,public,无认证,True
清风叮当响,2,0,1,0.0,ordinary,public,没有认证,True
清风向禄,3,0,1,0.0,ordinary,public,无认证,True
海棠树上一只狐,1,0,1,0.0,ordinary,public,无认证,True
淑本熙仪,1,1,0,0.0,ordinary,public,无认证,True
淋漓PLS,1,1,0,0.0,ordinary,public,没有认证,True
清风徐来乐天派,2,0,2,0.0,ordinary,public,无认证,True
海棠依旧D057,1,0,1,0.0,ordinary,public,无认证,True
