user_name,prev_time,curr_time,transition,next_state,mainstream_risk_ratio,wemedia_risk_ratio,n_mainstream_targets_observed,n_wemedia_targets_observed,time_fe,n_posts,n_total_interactions,active_days,z_n_total_interactions,z_active_days,z_n_posts
我是希尔瑞思,2022-10-09 19:44:00,2022-10-09 23:23:00,M->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-10-09 23:23:00,2022-11-08 09:48:00,H->M,M,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-08 09:48:00,2022-11-09 21:22:00,M->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-09 21:22:00,2022-11-13 13:15:00,H->H,H,1.0,,1,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-13 13:15:00,2022-11-14 10:00:00,H->M,M,0.0,,1,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-14 10:00:00,2022-11-14 11:07:00,M->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-14 11:07:00,2022-11-16 11:26:00,H->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-16 11:26:00,2022-11-16 11:50:00,H->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-16 11:50:00,2022-11-16 11:54:00,H->M,M,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-16 11:54:00,2022-11-17 00:33:00,M->M,M,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-17 00:33:00,2022-11-19 20:48:00,M->M,M,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-19 20:48:00,2022-11-20 10:43:00,M->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-20 10:43:00,2022-11-21 10:53:00,H->M,M,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-21 10:53:00,2022-11-21 10:59:00,M->M,M,0.0,,1,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-21 10:59:00,2022-11-26 08:02:00,M->M,M,0.0,,1,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
