time_window,n_posts,n_public,X_H,X_M,X_L,a,Q,n_mainstream,p_risk_mainstream,n_wemedia,p_risk_wemedia,n_government
2022-05-15 09:00:00,1,0,,,,,,0,,0,,0
2022-05-15 18:00:00,1,1,,,,,,0,,0,,0
2022-05-18 13:00:00,1,0,,,,,,0,,0,,0
2022-05-22 15:00:00,1,1,,,,,,0,,0,,0
2022-05-23 11:00:00,1,0,,,,,,0,,0,,0
2022-05-23 14:00:00,1,1,,,,,,0,,0,,0
2022-05-27 11:00:00,1,0,,,,,,0,,0,,0
2022-05-27 14:00:00,1,0,,,,,,0,,0,,0
2022-05-27 21:00:00,1,0,,,,,,0,,0,,0
2022-05-31 07:00:00,1,1,,,,,,0,,0,,0
2022-05-31 15:00:00,1,1,,,,,,0,,0,,0
2022-06-01 09:00:00,1,1,,,,,,0,,0,,0
2022-06-02 21:00:00,1,1,,,,,,0,,0,,0
2022-06-05 08:00:00,2,2,,,,,,0,,0,,0
2022-06-06 19:00:00,1,1,,,,,,0,,0,,0
2022-06-12 00:00:00,1,1,,,,,,0,,0,,0
2022-06-13 22:00:00,1,1,,,,,,0,,0,,0
2022-06-14 10:00:00,1,1,,,,,,0,,0,,0
2022-07-02 13:00:00,1,1,,,,,,0,,0,,0
2022-07-10 05:00:00,2,0,,,,,,0,,1,1.0,0
2022-07-13 19:00:00,1,1,,,,,,0,,0,,0
2022-07-15 07:00:00,1,1,,,,,,0,,0,,0
2022-07-18 01:00:00,1,1,,,,,,0,,0,,0
2022-07-20 00:00:00,1,1,,,,,,0,,0,,0
2022-07-20 07:00:00,1,0,,,,,,0,,1,1.0,0
2022-07-20 18:00:00,1,0,,,,,,0,,0,,0
2022-07-20 21:00:00,2,2,,,,,,0,,0,,0
2022-07-21 07:00:00,1,0,,,,,,0,,1,0.0,0
2022-07-21 08:00:00,1,0,,,,,,0,,1,0.0,0
2022-07-21 10:00:00,1,0,,,,,,0,,1,1.0,0
2022-07-25 10:00:00,1,0,,,,,,0,,1,1.0,0
2022-07-26 12:00:00,1,1,,,,,,0,,0,,0
2022-07-27 10:00:00,1,0,,,,,,0,,0,,0
2022-07-29 10:00:00,1,0,,,,,,1,1.0,0,,0
2022-07-29 13:00:00,1,1,,,,,,0,,0,,0
2022-07-31 11:00:00,1,1,,,,,,0,,0,,0
2022-08-04 14:00:00,1,0,,,,,,0,,0,,0
2022-08-06 12:00:00,1,0,,,,,,0,,0,,0
2022-08-08 11:00:00,1,0,,,,,,0,,0,,0
2022-08-11 10:00:00,1,1,,,,,,0,,0,,0
2022-08-11 13:00:00,1,0,,,,,,0,,0,,0
2022-08-13 16:00:00,1,1,,,,,,0,,0,,0
2022-08-14 06:00:00,1,1,,,,,,0,,0,,0
2022-08-14 08:00:00,1,1,,,,,,0,,0,,0
2022-08-14 14:00:00,1,1,,,,,,0,,0,,0
2022-08-15 01:00:00,1,1,,,,,,0,,0,,0
2022-08-15 09:00:00,1,1,,,,,,0,,0,,0
2022-08-15 11:00:00,1,0,,,,,,0,,0,,0
2022-08-16 10:00:00,1,1,,,,,,0,,0,,0
2022-08-16 11:00:00,1,1,,,,,,0,,0,,0
