date,n_mainstream_posts,n_wemedia_posts,n_public_posts,mainstream_risk,wemedia_risk,public_H
2023-02-02,3,3,19,0.3333333333333333,0.6666666666666666,0.21052631578947367
2023-02-03,4,1,12,0.75,0.0,0.16666666666666666
2023-02-04,2,5,19,0.5,0.8,0.21052631578947367
2023-02-05,2,1,11,1.0,1.0,0.0
2023-02-06,5,2,22,0.0,0.5,0.13636363636363635
2023-02-07,5,3,17,0.4,1.0,0.17647058823529413
2023-02-08,9,14,22,0.8888888888888888,0.7142857142857143,0.2727272727272727
2023-02-09,4,6,22,0.25,0.3333333333333333,0.09090909090909091
2023-02-10,6,7,21,0.3333333333333333,0.5714285714285714,0.09523809523809523
2023-02-11,1,3,15,1.0,0.0,0.13333333333333333
2023-02-12,7,0,11,1.0,,0.18181818181818182
2023-02-13,5,3,12,0.4,1.0,0.08333333333333333
2023-02-14,7,8,10,0.7142857142857143,0.75,0.1
2023-02-15,5,4,9,0.8,0.75,0.0
2023-02-16,0,6,14,,1.0,0.07142857142857142
2023-02-17,5,6,10,0.2,0.5,0.1
2023-02-18,0,4,17,,1.0,0.35294117647058826
2023-02-19,1,2,6,1.0,1.0,0.5
2023-02-20,1,4,7,1.0,0.75,0.0
2023-02-21,2,1,13,0.5,0.0,0.07692307692307693
2023-02-22,1,3,14,0.0,0.3333333333333333,0.42857142857142855
2023-02-23,1,1,10,0.0,1.0,0.1
2023-02-24,0,4,3,,0.25,0.0
2023-02-25,1,2,6,0.0,0.5,0.0
2023-02-26,2,1,7,0.0,0.0,0.0
2023-02-27,6,3,8,0.0,0.6666666666666666,0.25
2023-02-28,12,4,10,0.08333333333333333,0.5,0.0
