state,term,term_type,coef,std_err,z_value,p_value,odds_ratio
M,C(time_fe)[T.2024Q1],time_fe,-0.4848482691676649,1.0963847128879913,-0.44222457999302467,0.658326700895095,0.6157906241001411
M,C(time_fe)[T.2024Q2],time_fe,-0.17260298476310815,0.7580602363931074,-0.22769032918065024,0.8198869911824549,0.8414716255933304
M,C(time_fe)[T.2024Q3],time_fe,0.4694915040246993,0.7425056303507831,0.6323069951710625,0.5271862935188234,1.5991808094283226
M,C(time_fe)[T.2024Q4],time_fe,-0.738079904016865,0.5646982692055421,-1.3070341176275404,0.19120112457410743,0.47803090010120286
M,C(time_fe)[T.2025Q1],time_fe,0.9041307865505472,1.559462341074842,0.5797708368689334,0.562069166489757,2.469784220125177
M,C(time_fe)[T.2025Q2],time_fe,0.03595066217055865,0.9367957809240322,0.03837619991744392,0.9693877367149129,1.0366047014032844
M,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]:C(env_type, Treatment(reference='norisk'))[T.risk]",interaction,-0.15823374673094995,1.1103645993816538,-0.1425061162964562,0.8866802485721399,0.8536502206975303
M,z_n_total_interactions,control,-0.8731792569524088,0.13487136364307634,-6.474163479678244,9.533862588284592e-11,0.4176217096929279
M,z_active_days,control,0.8979195868599262,0.24793623469116868,3.6215746680931162,0.00029281526333369,2.454491439563168
M,z_n_posts,control,-0.6167481274308749,0.23103915042794387,-2.6694528883459747,0.007597493060119476,0.539696611734457
L,Intercept,intercept,-3.828352507017281,0.24871598898270963,-15.392466413904023,0.0,0.02174541154792166
L,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]",main_exposure,-2.138068656150797,1.18623898326309,-1.8023928452169282,0.07148362008299092,0.11788229455203404
L,"C(env_type, Treatment(reference='norisk'))[T.risk]",main_risk_env,-0.05964931251826966,0.32671987170098316,-0.18257020060555493,0.8551352677822375,0.9420948565335906
L,C(time_fe)[T.2022Q1],time_fe,-1.0982138984842245,1.4463714509429912,-0.759288976402446,0.4476797103595822,0.3334661565172647
L,C(time_fe)[T.2022Q2],time_fe,-0.9167895671427937,1.4861617926495145,-0.6168840914072689,0.537311180680198,0.3998005156515954
L,C(time_fe)[T.2022Q3],time_fe,-0.9048316714996275,1.5094758016119787,-0.599434366906281,0.5488832651806388,0.40460998676344045
L,C(time_fe)[T.2022Q4],time_fe,-1.6577602997262162,1.2552604597224781,-1.3206504569519584,0.18661794048862435,0.19056531167656782
L,C(time_fe)[T.2023Q1],time_fe,0.586402475487779,0.5184932781681668,1.1309741132219397,0.25806598720703544,1.7975101826411406
L,C(time_fe)[T.2023Q2],time_fe,-0.29262475926716014,0.9009859522071318,-0.324782821031029,0.7453454471510166,0.7463021311206319
L,C(time_fe)[T.2023Q3],time_fe,1.366584228284231,0.3716118682956086,3.6774504392231764,0.0002355768286128601,3.921931367601038
L,C(time_fe)[T.2023Q4],time_fe,-1.2544536995513063,1.3795617926106767,-0.9093131647096312,0.3631848434821845,0.2852316278356118
L,C(time_fe)[T.2024Q1],time_fe,-0.5550000981720586,1.6537104293155225,-0.33560899679502865,0.7371657386803154,0.5740722048385831
L,C(time_fe)[T.2024Q2],time_fe,1.801792953835664,0.8231573912003122,2.188880247079267,0.02860554512535174,6.06050393270357
L,C(time_fe)[T.2024Q3],time_fe,-0.9772115317256376,1.469880857487411,-0.6648236329821086,0.5061633049872043,0.37635910242685616
L,C(time_fe)[T.2024Q4],time_fe,1.4195614076978533,0.7898692109329648,1.7972107129243828,0.072302174453027,4.135306328929956
L,C(time_fe)[T.2025Q1],time_fe,-0.37771253053643467,1.7527080269702455,-0.2155022540687245,0.8293757548563143,0.6854275118263049
L,C(time_fe)[T.2025Q2],time_fe,-0.7506307076115352,1.5666743496273419,-0.47912363395116825,0.6318506773119998,0.47206872149285684
L,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]:C(env_type, Treatment(reference='norisk'))[T.risk]",interaction,-0.7263409072498654,1.5994406741648002,-0.45412181832198806,0.6497411503067525,0.48367556985060806
L,z_n_total_interactions,control,0.16636823817746918,0.2412415757930177,0.6896333587217615,0.4904247837599518,1.1810079138629253
L,z_active_days,control,-0.3635719780058453,0.409198682835365,-0.8884974298710612,0.3742732377294078,0.6951886871199034
L,z_n_posts,control,-0.3109595238574877,0.41434222985927377,-0.7504895746762315,0.4529599003704148,0.7327435339008103
