user_name,n_interactions_network,n_interactions_comment,n_total_interactions,n_m,n_w,exposure_group,targets_mainstream,targets_wemedia,active_days_interaction,n_posts,active_days_post,active_days
鹤翔九天9861,15,0,15,0,4,wemedia_only,,中医范圣华|中医蔡良俊|王言嘉-|马宝琳谈房颤,1,2,2,2
防疫拉满的厂长,9,6,15,0,0,no_media,,,6,17,17,17
苗麦吉,15,0,15,0,0,no_media,,,0,0,0,0
千万别头秃,0,15,15,0,0,no_media,,,1,0,0,1
小禾199302,1,14,15,0,1,wemedia_only,,闫洁jooyee,10,1,1,10
Bryant_Jz,0,15,15,0,2,wemedia_only,,Bryant_Jz|敬一山,2,1,1,2
三个老爸实验室,6,9,15,0,0,no_media,,,6,36,34,34
清醒梦境waiting,15,0,15,1,4,dual,陕西汉书下酒,中医吴昌树|手感造物|静姐姐吃的学问|马宝琳谈房颤,0,0,0,0
冰山来客的围脖,14,1,15,0,1,wemedia_only,,李贵明-医生,1,0,0,1
无敌小飝尨,0,15,15,1,0,mainstream_only,观察者网,,1,0,0,1
mercuriusazul,0,15,15,0,0,no_media,,,4,0,0,4
公子扶苏尹,0,15,15,0,1,wemedia_only,,公子扶苏尹,2,1,1,2
用户7039290824,15,0,15,0,2,wemedia_only,,中医张恒毅|马宝琳谈房颤,0,0,0,0
肥宅比特币V,0,15,15,0,0,no_media,,,8,0,0,8
赤胆忠心Moss酱,14,0,14,0,0,no_media,,,12,33,30,30
怪博士李雷,0,14,14,0,1,wemedia_only,,山知影,4,6,6,6
杨逢春2015,14,0,14,0,1,wemedia_only,,美国医级资源_Sonmore,1,2,2,2
大脸古板小姐姐,14,0,14,0,2,wemedia_only,,Creamy蕉|我是小妖怪的人,2,2,2,2
凝聚神与心建此不夜城,7,7,14,1,1,dual,国是直通车,Creamy蕉,4,0,0,4
快乐godwin,14,0,14,0,1,wemedia_only,,生物狗Y博,0,0,0,0
我要健康的活着,0,14,14,0,0,no_media,,,3,0,0,3
意大利华裔郭医生,14,0,14,0,0,no_media,,,13,43,39,39
The_Prettiest,0,14,14,0,0,no_media,,,6,0,0,6
SAJCRUSHONU,0,14,14,0,0,no_media,,,5,0,0,5
微博时事,8,6,14,0,3,wemedia_only,,小汤说事|电视人曾小强|舒中胜,6,5,4,6
卮言片雨,0,14,14,1,0,mainstream_only,观察者网,,2,0,0,2
一个人的街角zt,0,14,14,0,0,no_media,,,9,2,2,9
吃水蜜桃的胖桃,0,14,14,0,0,no_media,,,5,2,2,5
快乐的葛彤,14,0,14,0,1,wemedia_only,,中医范圣华,0,0,0,0
皮卡皮加,0,14,14,0,0,no_media,,,4,0,0,4
齐鲁青未了-3,14,0,14,0,2,wemedia_only,,传统中医-唐略|得意的弦小二,7,26,26,26
心之暖阳,8,6,14,1,4,dual,陕西汉书下酒,中医周晓卿主任|中医范圣华|静姐姐吃的学问|马宝琳谈房颤,4,0,0,4
Sniper-trade,14,0,14,1,0,mainstream_only,陕西汉书下酒,,0,0,0,0
Meowskey,13,1,14,0,0,no_media,,,7,2,2,7
阿莲瑞也,10,4,14,0,3,wemedia_only,,中医吴昌树|中医张恒毅|经方中医黄波,4,2,2,4
_事已至此_先吃饭吧,0,14,14,0,0,no_media,,,2,1,1,2
Karl-Friedrich,5,9,14,0,0,no_media,,,4,4,4,4
琥珀_15433,0,14,14,0,1,wemedia_only,,中医张恒毅,10,0,0,10
祝星燃好运来啊发大财呀,0,13,13,0,0,no_media,,,9,1,1,9
夕阳月色美,10,3,13,1,2,dual,第一财经日报,中医吴昌树|经方中医黄波,3,8,7,7
张作风流行病学教授UCLA,9,4,13,0,0,no_media,,,5,59,43,43
泊水卫生-刘爱梅,7,6,13,0,1,wemedia_only,,代县胡永胜,6,0,0,6
请叫我小豆子Ying,1,12,13,0,0,no_media,,,5,0,0,5
-柒染97,0,13,13,0,0,no_media,,,1,1,1,1
胡思乱想的花,8,5,13,2,0,mainstream_only,央广网|陕西汉书下酒,,3,5,5,5
源-氏-物-语,0,13,13,0,0,no_media,,,4,7,6,6
如月舞2018,11,2,13,1,0,mainstream_only,中国疾控中心,,9,15,14,14
医武郭石磊,6,7,13,0,0,no_media,,,7,0,0,7
炒饭殿下007,1,12,13,0,1,wemedia_only,,死路,8,2,2,8
微偑燃墨,0,13,13,0,0,no_media,,,6,0,0,6
紫薇亮星星,0,13,13,0,4,wemedia_only,,卧蚕撞上了梨涡儿|懶懶旳訫情雪|营养咨询王晓纯|费城的猫0,1,0,0,1
晖姐的新微博,0,13,13,0,0,no_media,,,5,5,4,5
维维滴豆奶么么哒,12,1,13,1,1,dual,人民日报健康客户端,DB浩浩耗,5,7,7,7
东方视界aqiang,13,0,13,0,0,no_media,,,4,1,1,4
方脑壳邓铂鋆,12,1,13,1,2,dual,观察者网,Apocalypse-锐|Creamy蕉,11,92,82,82
泰松有极,13,0,13,0,1,wemedia_only,,得意的弦小二,4,5,5,5
疾风中青勁草,0,13,13,0,0,no_media,,,3,2,2,3
易拉宝三号,13,0,13,1,0,mainstream_only,观察者网,,10,14,14,14
石锋强988,11,2,13,0,0,no_media,,,1,0,0,1
我是声音控5511,0,13,13,0,0,no_media,,,4,0,0,4
匡宦龙缆,13,0,13,1,1,dual,新浪新闻,星河Shinho,9,24,16,16
罗百竹,5,8,13,0,2,wemedia_only,,罗祎明医生|翟医师,5,43,41,41
秋分天下,13,0,13,1,1,dual,陕西汉书下酒,马宝琳谈房颤,2,2,2,2
佛心蛊虫2,13,0,13,0,1,wemedia_only,,Creamy蕉,10,21,20,20
Diewahne,13,0,13,0,0,no_media,,,6,5,5,6
用户5371581768,13,0,13,0,1,wemedia_only,,马宝琳谈房颤,9,12,10,10
猫猫抓紧时间,0,13,13,1,0,mainstream_only,人民日报,,1,0,0,1
kiss禕吻定情_,13,0,13,0,0,no_media,,,11,13,11,11
小蚯蚓D微博,4,9,13,0,0,no_media,,,7,0,0,7
