exposure_group,week,n_transitions,upgrade_rate,cooling_rate
dual,2021-08-09/2021-08-15,2,0.0,0.0
mainstream_only,2021-08-09/2021-08-15,1,0.0,1.0
dual,2021-08-16/2021-08-22,2,0.0,0.0
dual,2021-08-30/2021-09-05,2,0.0,0.0
mainstream_only,2021-10-18/2021-10-24,1,0.0,0.0
dual,2021-10-25/2021-10-31,1,0.0,0.0
mainstream_only,2021-10-25/2021-10-31,1,0.0,0.0
mainstream_only,2021-11-08/2021-11-14,1,0.0,0.0
dual,2021-11-22/2021-11-28,1,1.0,0.0
mainstream_only,2021-11-22/2021-11-28,13,0.0,0.0
wemedia_only,2021-11-29/2021-12-05,1,0.0,0.0
wemedia_only,2021-12-06/2021-12-12,2,0.0,0.0
dual,2021-12-13/2021-12-19,1,0.0,0.0
dual,2022-01-03/2022-01-09,1,0.0,1.0
mainstream_only,2022-01-03/2022-01-09,1,0.0,0.0
mainstream_only,2022-01-10/2022-01-16,3,0.0,0.0
wemedia_only,2022-01-10/2022-01-16,1,0.0,0.0
mainstream_only,2022-01-17/2022-01-23,2,0.0,0.0
wemedia_only,2022-01-17/2022-01-23,1,0.0,0.0
dual,2022-01-24/2022-01-30,1,0.0,0.0
mainstream_only,2022-01-31/2022-02-06,1,0.0,0.0
mainstream_only,2022-02-28/2022-03-06,2,0.0,0.0
dual,2022-03-07/2022-03-13,1,1.0,0.0
mainstream_only,2022-03-07/2022-03-13,1,0.0,0.0
dual,2022-03-14/2022-03-20,2,0.0,0.0
mainstream_only,2022-03-14/2022-03-20,13,0.0,0.0
wemedia_only,2022-03-14/2022-03-20,17,0.0,0.17647058823529413
dual,2022-03-21/2022-03-27,2,0.0,0.0
mainstream_only,2022-03-21/2022-03-27,2,0.0,0.0
wemedia_only,2022-03-21/2022-03-27,1,0.0,0.0
mainstream_only,2022-03-28/2022-04-03,2,0.0,0.0
wemedia_only,2022-03-28/2022-04-03,2,0.5,0.0
dual,2022-04-04/2022-04-10,2,0.0,0.0
mainstream_only,2022-04-04/2022-04-10,7,0.0,0.0
dual,2022-04-11/2022-04-17,1,1.0,0.0
mainstream_only,2022-04-11/2022-04-17,1,0.0,0.0
dual,2022-04-18/2022-04-24,1,0.0,1.0
mainstream_only,2022-04-18/2022-04-24,4,0.0,0.0
wemedia_only,2022-04-18/2022-04-24,1,0.0,0.0
dual,2022-04-25/2022-05-01,2,0.5,0.0
mainstream_only,2022-04-25/2022-05-01,6,0.0,0.0
wemedia_only,2022-04-25/2022-05-01,1,0.0,0.0
dual,2022-05-02/2022-05-08,2,0.5,0.5
mainstream_only,2022-05-02/2022-05-08,3,0.0,0.0
wemedia_only,2022-05-02/2022-05-08,1,0.0,0.0
mainstream_only,2022-05-09/2022-05-15,3,0.0,0.0
wemedia_only,2022-05-09/2022-05-15,1,0.0,0.0
mainstream_only,2022-05-16/2022-05-22,2,0.0,0.0
wemedia_only,2022-05-16/2022-05-22,3,0.0,0.0
dual,2022-05-23/2022-05-29,1,0.0,0.0
mainstream_only,2022-05-23/2022-05-29,5,0.0,0.2
wemedia_only,2022-05-23/2022-05-29,1,0.0,0.0
dual,2022-05-30/2022-06-05,1,1.0,0.0
mainstream_only,2022-05-30/2022-06-05,1,0.0,0.0
wemedia_only,2022-05-30/2022-06-05,1,0.0,0.0
mainstream_only,2022-06-13/2022-06-19,1,1.0,0.0
mainstream_only,2022-06-20/2022-06-26,1,0.0,1.0
wemedia_only,2022-06-20/2022-06-26,2,0.0,0.0
dual,2022-07-04/2022-07-10,3,0.0,0.3333333333333333
mainstream_only,2022-07-04/2022-07-10,2,0.0,0.0
wemedia_only,2022-07-04/2022-07-10,1,1.0,0.0
dual,2022-07-11/2022-07-17,2,0.0,0.0
mainstream_only,2022-07-11/2022-07-17,1,0.0,0.0
dual,2022-07-18/2022-07-24,2,0.5,0.0
wemedia_only,2022-07-18/2022-07-24,3,0.3333333333333333,0.0
dual,2022-07-25/2022-07-31,1,0.0,1.0
mainstream_only,2022-07-25/2022-07-31,2,0.0,0.0
wemedia_only,2022-07-25/2022-07-31,2,0.5,0.0
dual,2022-08-01/2022-08-07,1,1.0,0.0
wemedia_only,2022-08-08/2022-08-14,1,0.0,0.0
wemedia_only,2022-08-15/2022-08-21,1,0.0,0.0
dual,2022-08-22/2022-08-28,2,0.0,0.0
mainstream_only,2022-08-22/2022-08-28,1,0.0,0.0
wemedia_only,2022-08-22/2022-08-28,1,0.0,0.0
dual,2022-08-29/2022-09-04,1,1.0,0.0
wemedia_only,2022-08-29/2022-09-04,3,0.3333333333333333,0.0
wemedia_only,2022-09-05/2022-09-11,3,0.0,0.3333333333333333
dual,2022-09-12/2022-09-18,1,0.0,0.0
mainstream_only,2022-09-12/2022-09-18,1,1.0,0.0
wemedia_only,2022-09-12/2022-09-18,1,0.0,1.0
dual,2022-09-19/2022-09-25,3,0.0,0.3333333333333333
mainstream_only,2022-09-19/2022-09-25,3,0.3333333333333333,0.0
wemedia_only,2022-09-19/2022-09-25,1,0.0,0.0
wemedia_only,2022-09-26/2022-10-02,1,0.0,0.0
dual,2022-10-03/2022-10-09,1,0.0,1.0
dual,2022-10-10/2022-10-16,2,0.5,0.0
mainstream_only,2022-10-10/2022-10-16,26,0.038461538461538464,0.0
wemedia_only,2022-10-10/2022-10-16,16,0.125,0.125
mainstream_only,2022-10-17/2022-10-23,1,0.0,0.0
wemedia_only,2022-10-17/2022-10-23,2,0.0,0.0
mainstream_only,2022-10-24/2022-10-30,1,0.0,0.0
mainstream_only,2022-10-31/2022-11-06,4,0.0,0.0
wemedia_only,2022-10-31/2022-11-06,1,0.0,0.0
dual,2022-11-07/2022-11-13,2,0.5,0.5
mainstream_only,2022-11-07/2022-11-13,3,0.0,0.0
dual,2022-11-14/2022-11-20,1,0.0,1.0
mainstream_only,2022-11-14/2022-11-20,2,0.0,0.0
wemedia_only,2022-11-14/2022-11-20,3,0.0,0.0
dual,2022-11-21/2022-11-27,3,0.6666666666666666,0.0
mainstream_only,2022-11-21/2022-11-27,3,0.0,0.0
dual,2022-11-28/2022-12-04,11,0.36363636363636365,0.18181818181818182
mainstream_only,2022-11-28/2022-12-04,17,0.11764705882352941,0.11764705882352941
wemedia_only,2022-11-28/2022-12-04,22,0.18181818181818182,0.045454545454545456
dual,2022-12-05/2022-12-11,12,0.16666666666666666,0.25
mainstream_only,2022-12-05/2022-12-11,23,0.043478260869565216,0.043478260869565216
wemedia_only,2022-12-05/2022-12-11,4,0.0,0.0
dual,2022-12-12/2022-12-18,2,0.0,0.0
mainstream_only,2022-12-12/2022-12-18,26,0.0,0.038461538461538464
wemedia_only,2022-12-12/2022-12-18,4,0.0,0.0
mainstream_only,2022-12-19/2022-12-25,3,0.0,0.0
wemedia_only,2022-12-19/2022-12-25,5,0.0,0.0
dual,2022-12-26/2023-01-01,3,0.0,0.0
mainstream_only,2022-12-26/2023-01-01,12,0.0,0.0
wemedia_only,2022-12-26/2023-01-01,11,0.09090909090909091,0.09090909090909091
dual,2023-01-02/2023-01-08,11,0.2727272727272727,0.09090909090909091
mainstream_only,2023-01-02/2023-01-08,9,0.0,0.0
wemedia_only,2023-01-02/2023-01-08,5,0.0,0.0
dual,2023-01-09/2023-01-15,9,0.1111111111111111,0.1111111111111111
mainstream_only,2023-01-09/2023-01-15,3,0.0,0.0
wemedia_only,2023-01-09/2023-01-15,20,0.1,0.1
dual,2023-01-16/2023-01-22,10,0.0,0.0
mainstream_only,2023-01-16/2023-01-22,2,0.0,0.0
wemedia_only,2023-01-16/2023-01-22,19,0.0,0.0
dual,2023-01-23/2023-01-29,17,0.0,0.0
wemedia_only,2023-01-23/2023-01-29,5,0.0,0.2
dual,2023-01-30/2023-02-05,24,0.125,0.08333333333333333
mainstream_only,2023-01-30/2023-02-05,23,0.043478260869565216,0.08695652173913043
wemedia_only,2023-01-30/2023-02-05,29,0.034482758620689655,0.13793103448275862
dual,2023-02-06/2023-02-12,15,0.06666666666666667,0.0
mainstream_only,2023-02-06/2023-02-12,40,0.05,0.075
wemedia_only,2023-02-06/2023-02-12,40,0.05,0.025
dual,2023-02-13/2023-02-19,6,0.0,0.0
mainstream_only,2023-02-13/2023-02-19,25,0.12,0.2
wemedia_only,2023-02-13/2023-02-19,44,0.13636363636363635,0.20454545454545456
dual,2023-02-20/2023-02-26,3,0.0,0.3333333333333333
mainstream_only,2023-02-20/2023-02-26,32,0.15625,0.125
wemedia_only,2023-02-20/2023-02-26,30,0.03333333333333333,0.1
dual,2023-02-27/2023-03-05,5,0.0,0.2
mainstream_only,2023-02-27/2023-03-05,22,0.0,0.045454545454545456
wemedia_only,2023-02-27/2023-03-05,23,0.08695652173913043,0.043478260869565216
dual,2023-03-06/2023-03-12,8,0.125,0.25
mainstream_only,2023-03-06/2023-03-12,23,0.21739130434782608,0.043478260869565216
wemedia_only,2023-03-06/2023-03-12,18,0.2222222222222222,0.1111111111111111
dual,2023-03-13/2023-03-19,5,0.0,0.0
mainstream_only,2023-03-13/2023-03-19,17,0.058823529411764705,0.058823529411764705
wemedia_only,2023-03-13/2023-03-19,15,0.13333333333333333,0.0
dual,2023-03-20/2023-03-26,11,0.2727272727272727,0.09090909090909091
mainstream_only,2023-03-20/2023-03-26,8,0.125,0.25
wemedia_only,2023-03-20/2023-03-26,18,0.05555555555555555,0.0
dual,2023-03-27/2023-04-02,5,0.2,0.2
mainstream_only,2023-03-27/2023-04-02,10,0.3,0.2
wemedia_only,2023-03-27/2023-04-02,22,0.18181818181818182,0.13636363636363635
dual,2023-04-03/2023-04-09,6,0.0,0.0
mainstream_only,2023-04-03/2023-04-09,9,0.0,0.0
wemedia_only,2023-04-03/2023-04-09,6,0.0,0.16666666666666666
dual,2023-04-10/2023-04-16,5,0.0,0.0
mainstream_only,2023-04-10/2023-04-16,10,0.0,0.0
wemedia_only,2023-04-10/2023-04-16,4,0.0,0.25
dual,2023-04-17/2023-04-23,7,0.14285714285714285,0.14285714285714285
mainstream_only,2023-04-17/2023-04-23,3,0.0,0.0
wemedia_only,2023-04-17/2023-04-23,8,0.0,0.0
dual,2023-04-24/2023-04-30,5,0.0,0.2
mainstream_only,2023-04-24/2023-04-30,9,0.1111111111111111,0.1111111111111111
wemedia_only,2023-04-24/2023-04-30,7,0.0,0.14285714285714285
dual,2023-05-01/2023-05-07,4,0.0,0.0
mainstream_only,2023-05-01/2023-05-07,5,0.0,0.0
wemedia_only,2023-05-01/2023-05-07,17,0.11764705882352941,0.058823529411764705
dual,2023-05-08/2023-05-14,3,0.0,0.0
mainstream_only,2023-05-08/2023-05-14,7,0.14285714285714285,0.14285714285714285
wemedia_only,2023-05-08/2023-05-14,10,0.1,0.3
dual,2023-05-15/2023-05-21,15,0.2,0.0
mainstream_only,2023-05-15/2023-05-21,25,0.16,0.16
wemedia_only,2023-05-15/2023-05-21,16,0.125,0.125
dual,2023-05-22/2023-05-28,13,0.15384615384615385,0.07692307692307693
mainstream_only,2023-05-22/2023-05-28,33,0.06060606060606061,0.09090909090909091
wemedia_only,2023-05-22/2023-05-28,25,0.12,0.12
dual,2023-05-29/2023-06-04,9,0.0,0.1111111111111111
mainstream_only,2023-05-29/2023-06-04,27,0.037037037037037035,0.07407407407407407
wemedia_only,2023-05-29/2023-06-04,25,0.04,0.0
dual,2023-06-05/2023-06-11,11,0.09090909090909091,0.2727272727272727
mainstream_only,2023-06-05/2023-06-11,6,0.16666666666666666,0.16666666666666666
wemedia_only,2023-06-05/2023-06-11,27,0.037037037037037035,0.037037037037037035
dual,2023-06-12/2023-06-18,11,0.09090909090909091,0.18181818181818182
mainstream_only,2023-06-12/2023-06-18,9,0.1111111111111111,0.0
wemedia_only,2023-06-12/2023-06-18,16,0.0,0.125
dual,2023-06-19/2023-06-25,9,0.0,0.0
mainstream_only,2023-06-19/2023-06-25,5,0.4,0.2
wemedia_only,2023-06-19/2023-06-25,8,0.25,0.125
dual,2023-06-26/2023-07-02,6,0.16666666666666666,0.5
mainstream_only,2023-06-26/2023-07-02,8,0.0,0.375
wemedia_only,2023-06-26/2023-07-02,13,0.23076923076923078,0.15384615384615385
dual,2023-07-03/2023-07-09,3,0.0,0.0
mainstream_only,2023-07-03/2023-07-09,6,0.16666666666666666,0.16666666666666666
wemedia_only,2023-07-03/2023-07-09,17,0.17647058823529413,0.11764705882352941
dual,2023-07-10/2023-07-16,5,0.0,0.0
mainstream_only,2023-07-10/2023-07-16,4,0.0,0.0
wemedia_only,2023-07-10/2023-07-16,8,0.375,0.25
dual,2023-07-17/2023-07-23,18,0.05555555555555555,0.05555555555555555
mainstream_only,2023-07-17/2023-07-23,5,0.2,0.4
wemedia_only,2023-07-17/2023-07-23,14,0.0,0.14285714285714285
dual,2023-07-24/2023-07-30,10,0.1,0.1
mainstream_only,2023-07-24/2023-07-30,3,0.3333333333333333,0.0
wemedia_only,2023-07-24/2023-07-30,18,0.05555555555555555,0.0
dual,2023-07-31/2023-08-06,26,0.07692307692307693,0.15384615384615385
mainstream_only,2023-07-31/2023-08-06,11,0.2727272727272727,0.0
wemedia_only,2023-07-31/2023-08-06,12,0.0,0.0
dual,2023-08-07/2023-08-13,22,0.13636363636363635,0.045454545454545456
mainstream_only,2023-08-07/2023-08-13,14,0.14285714285714285,0.35714285714285715
wemedia_only,2023-08-07/2023-08-13,24,0.16666666666666666,0.041666666666666664
dual,2023-08-14/2023-08-20,20,0.1,0.0
mainstream_only,2023-08-14/2023-08-20,4,0.25,0.0
wemedia_only,2023-08-14/2023-08-20,22,0.22727272727272727,0.045454545454545456
dual,2023-08-21/2023-08-27,16,0.125,0.0625
mainstream_only,2023-08-21/2023-08-27,10,0.0,0.3
wemedia_only,2023-08-21/2023-08-27,20,0.05,0.2
dual,2023-08-28/2023-09-03,7,0.0,0.14285714285714285
mainstream_only,2023-08-28/2023-09-03,2,0.0,0.0
wemedia_only,2023-08-28/2023-09-03,12,0.0,0.0
dual,2023-09-04/2023-09-10,13,0.07692307692307693,0.07692307692307693
mainstream_only,2023-09-04/2023-09-10,10,0.0,0.0
wemedia_only,2023-09-04/2023-09-10,9,0.2222222222222222,0.1111111111111111
dual,2023-09-11/2023-09-17,15,0.06666666666666667,0.06666666666666667
mainstream_only,2023-09-11/2023-09-17,8,0.25,0.125
wemedia_only,2023-09-11/2023-09-17,15,0.06666666666666667,0.13333333333333333
dual,2023-09-18/2023-09-24,19,0.10526315789473684,0.05263157894736842
mainstream_only,2023-09-18/2023-09-24,5,0.2,0.2
wemedia_only,2023-09-18/2023-09-24,8,0.25,0.0
dual,2023-09-25/2023-10-01,11,0.09090909090909091,0.0
mainstream_only,2023-09-25/2023-10-01,6,0.16666666666666666,0.3333333333333333
wemedia_only,2023-09-25/2023-10-01,24,0.25,0.16666666666666666
dual,2023-10-02/2023-10-08,9,0.2222222222222222,0.0
mainstream_only,2023-10-02/2023-10-08,5,0.0,0.0
wemedia_only,2023-10-02/2023-10-08,12,0.08333333333333333,0.08333333333333333
dual,2023-10-09/2023-10-15,6,0.16666666666666666,0.3333333333333333
mainstream_only,2023-10-09/2023-10-15,6,0.16666666666666666,0.0
wemedia_only,2023-10-09/2023-10-15,5,0.0,0.4
dual,2023-10-16/2023-10-22,4,0.25,0.25
mainstream_only,2023-10-16/2023-10-22,2,0.0,0.0
wemedia_only,2023-10-16/2023-10-22,8,0.125,0.0
dual,2023-10-23/2023-10-29,14,0.14285714285714285,0.07142857142857142
mainstream_only,2023-10-23/2023-10-29,6,0.16666666666666666,0.0
wemedia_only,2023-10-23/2023-10-29,13,0.3076923076923077,0.0
dual,2023-10-30/2023-11-05,11,0.09090909090909091,0.18181818181818182
mainstream_only,2023-10-30/2023-11-05,2,0.0,0.0
wemedia_only,2023-10-30/2023-11-05,10,0.0,0.0
dual,2023-11-06/2023-11-12,7,0.14285714285714285,0.0
mainstream_only,2023-11-06/2023-11-12,15,0.13333333333333333,0.06666666666666667
wemedia_only,2023-11-06/2023-11-12,4,0.0,0.25
dual,2023-11-13/2023-11-19,5,0.0,0.0
mainstream_only,2023-11-13/2023-11-19,3,0.3333333333333333,0.3333333333333333
wemedia_only,2023-11-13/2023-11-19,5,0.0,0.0
dual,2023-11-20/2023-11-26,5,0.0,0.2
mainstream_only,2023-11-20/2023-11-26,8,0.0,0.25
wemedia_only,2023-11-20/2023-11-26,15,0.06666666666666667,0.0
dual,2023-11-27/2023-12-03,10,0.2,0.0
mainstream_only,2023-11-27/2023-12-03,13,0.0,0.23076923076923078
wemedia_only,2023-11-27/2023-12-03,3,0.0,0.3333333333333333
dual,2023-12-04/2023-12-10,10,0.1,0.1
mainstream_only,2023-12-04/2023-12-10,8,0.0,0.25
wemedia_only,2023-12-04/2023-12-10,15,0.06666666666666667,0.13333333333333333
dual,2023-12-11/2023-12-17,5,0.4,0.2
mainstream_only,2023-12-11/2023-12-17,12,0.25,0.08333333333333333
wemedia_only,2023-12-11/2023-12-17,15,0.13333333333333333,0.06666666666666667
dual,2023-12-18/2023-12-24,3,0.0,0.3333333333333333
mainstream_only,2023-12-18/2023-12-24,3,0.0,0.3333333333333333
wemedia_only,2023-12-18/2023-12-24,10,0.3,0.1
dual,2023-12-25/2023-12-31,6,0.0,0.0
mainstream_only,2023-12-25/2023-12-31,8,0.25,0.125
wemedia_only,2023-12-25/2023-12-31,5,0.2,0.2
dual,2024-01-01/2024-01-07,2,0.0,0.0
mainstream_only,2024-01-01/2024-01-07,4,0.25,0.75
wemedia_only,2024-01-01/2024-01-07,10,0.0,0.1
dual,2024-01-08/2024-01-14,2,0.5,0.0
mainstream_only,2024-01-08/2024-01-14,12,0.25,0.08333333333333333
wemedia_only,2024-01-08/2024-01-14,2,0.0,0.0
dual,2024-01-15/2024-01-21,2,0.0,0.0
mainstream_only,2024-01-15/2024-01-21,2,0.0,0.5
wemedia_only,2024-01-15/2024-01-21,9,0.1111111111111111,0.1111111111111111
dual,2024-01-22/2024-01-28,4,0.25,0.25
mainstream_only,2024-01-22/2024-01-28,3,0.0,0.3333333333333333
wemedia_only,2024-01-22/2024-01-28,10,0.0,0.2
dual,2024-01-29/2024-02-04,4,0.0,0.0
mainstream_only,2024-01-29/2024-02-04,6,0.0,0.0
wemedia_only,2024-01-29/2024-02-04,4,0.0,0.5
dual,2024-02-05/2024-02-11,3,0.3333333333333333,0.0
mainstream_only,2024-02-05/2024-02-11,4,0.0,0.25
wemedia_only,2024-02-05/2024-02-11,3,0.0,0.3333333333333333
dual,2024-02-12/2024-02-18,3,0.0,0.6666666666666666
mainstream_only,2024-02-12/2024-02-18,2,0.0,0.0
wemedia_only,2024-02-12/2024-02-18,3,0.0,0.0
dual,2024-02-19/2024-02-25,1,0.0,0.0
mainstream_only,2024-02-19/2024-02-25,5,0.2,0.0
wemedia_only,2024-02-19/2024-02-25,11,0.18181818181818182,0.0
dual,2024-02-26/2024-03-03,3,0.6666666666666666,0.3333333333333333
mainstream_only,2024-02-26/2024-03-03,1,0.0,0.0
wemedia_only,2024-02-26/2024-03-03,7,0.2857142857142857,0.14285714285714285
dual,2024-03-04/2024-03-10,5,0.4,0.2
mainstream_only,2024-03-04/2024-03-10,3,0.0,0.0
wemedia_only,2024-03-04/2024-03-10,7,0.14285714285714285,0.42857142857142855
dual,2024-03-11/2024-03-17,6,0.0,0.3333333333333333
mainstream_only,2024-03-11/2024-03-17,7,0.0,0.0
wemedia_only,2024-03-11/2024-03-17,16,0.125,0.125
dual,2024-03-18/2024-03-24,3,0.0,0.6666666666666666
mainstream_only,2024-03-18/2024-03-24,2,0.0,0.0
wemedia_only,2024-03-18/2024-03-24,7,0.14285714285714285,0.2857142857142857
dual,2024-03-25/2024-03-31,2,0.5,0.0
mainstream_only,2024-03-25/2024-03-31,1,0.0,0.0
wemedia_only,2024-03-25/2024-03-31,10,0.3,0.1
dual,2024-04-01/2024-04-07,4,0.25,0.25
mainstream_only,2024-04-01/2024-04-07,1,0.0,0.0
wemedia_only,2024-04-01/2024-04-07,3,0.3333333333333333,0.0
dual,2024-04-08/2024-04-14,2,0.5,0.0
mainstream_only,2024-04-08/2024-04-14,1,0.0,0.0
wemedia_only,2024-04-08/2024-04-14,9,0.0,0.2222222222222222
dual,2024-04-15/2024-04-21,9,0.2222222222222222,0.1111111111111111
wemedia_only,2024-04-15/2024-04-21,6,0.16666666666666666,0.3333333333333333
mainstream_only,2024-04-22/2024-04-28,3,0.0,0.0
wemedia_only,2024-04-22/2024-04-28,7,0.14285714285714285,0.0
dual,2024-04-29/2024-05-05,4,0.0,0.0
mainstream_only,2024-04-29/2024-05-05,1,0.0,0.0
wemedia_only,2024-04-29/2024-05-05,3,0.3333333333333333,0.0
dual,2024-05-06/2024-05-12,1,0.0,0.0
mainstream_only,2024-05-06/2024-05-12,2,0.0,0.0
wemedia_only,2024-05-06/2024-05-12,9,0.1111111111111111,0.2222222222222222
dual,2024-05-13/2024-05-19,3,0.0,0.3333333333333333
mainstream_only,2024-05-13/2024-05-19,2,0.0,0.5
wemedia_only,2024-05-13/2024-05-19,8,0.0,0.0
dual,2024-05-20/2024-05-26,3,0.3333333333333333,0.3333333333333333
wemedia_only,2024-05-20/2024-05-26,9,0.0,0.2222222222222222
dual,2024-05-27/2024-06-02,3,0.0,0.0
mainstream_only,2024-05-27/2024-06-02,1,1.0,0.0
wemedia_only,2024-05-27/2024-06-02,7,0.0,0.0
dual,2024-06-03/2024-06-09,1,0.0,0.0
mainstream_only,2024-06-03/2024-06-09,2,0.0,0.5
wemedia_only,2024-06-03/2024-06-09,5,0.2,0.0
dual,2024-06-10/2024-06-16,2,0.0,0.0
wemedia_only,2024-06-10/2024-06-16,3,0.0,0.3333333333333333
dual,2024-06-17/2024-06-23,3,0.3333333333333333,0.0
mainstream_only,2024-06-17/2024-06-23,3,0.0,0.0
wemedia_only,2024-06-17/2024-06-23,9,0.1111111111111111,0.2222222222222222
dual,2024-06-24/2024-06-30,2,0.0,0.0
mainstream_only,2024-06-24/2024-06-30,3,0.0,0.0
wemedia_only,2024-06-24/2024-06-30,5,0.2,0.0
dual,2024-07-01/2024-07-07,1,0.0,1.0
mainstream_only,2024-07-01/2024-07-07,1,0.0,0.0
wemedia_only,2024-07-01/2024-07-07,9,0.0,0.1111111111111111
dual,2024-07-08/2024-07-14,4,0.0,0.0
wemedia_only,2024-07-08/2024-07-14,9,0.1111111111111111,0.1111111111111111
dual,2024-07-15/2024-07-21,1,0.0,0.0
wemedia_only,2024-07-15/2024-07-21,4,0.0,0.25
dual,2024-07-22/2024-07-28,1,0.0,0.0
mainstream_only,2024-07-22/2024-07-28,2,0.0,0.5
wemedia_only,2024-07-22/2024-07-28,2,0.0,0.0
mainstream_only,2024-07-29/2024-08-04,3,0.0,0.3333333333333333
wemedia_only,2024-07-29/2024-08-04,2,0.0,0.0
dual,2024-08-05/2024-08-11,2,0.0,0.0
wemedia_only,2024-08-05/2024-08-11,3,0.0,0.0
dual,2024-08-12/2024-08-18,6,0.16666666666666666,0.16666666666666666
mainstream_only,2024-08-12/2024-08-18,2,0.0,0.0
wemedia_only,2024-08-12/2024-08-18,11,0.18181818181818182,0.18181818181818182
dual,2024-08-19/2024-08-25,3,0.0,0.3333333333333333
mainstream_only,2024-08-19/2024-08-25,1,0.0,0.0
wemedia_only,2024-08-19/2024-08-25,5,0.2,0.0
dual,2024-08-26/2024-09-01,2,0.5,0.0
mainstream_only,2024-08-26/2024-09-01,1,0.0,0.0
wemedia_only,2024-08-26/2024-09-01,8,0.0,0.0
dual,2024-09-02/2024-09-08,3,0.3333333333333333,0.0
wemedia_only,2024-09-02/2024-09-08,9,0.3333333333333333,0.0
dual,2024-09-09/2024-09-15,3,0.0,0.3333333333333333
mainstream_only,2024-09-09/2024-09-15,3,0.3333333333333333,0.0
wemedia_only,2024-09-09/2024-09-15,4,0.0,0.0
dual,2024-09-16/2024-09-22,3,0.3333333333333333,0.0
wemedia_only,2024-09-16/2024-09-22,5,0.2,0.0
dual,2024-09-23/2024-09-29,6,0.16666666666666666,0.16666666666666666
mainstream_only,2024-09-23/2024-09-29,1,0.0,0.0
wemedia_only,2024-09-23/2024-09-29,3,0.3333333333333333,0.0
dual,2024-09-30/2024-10-06,4,0.5,0.25
mainstream_only,2024-09-30/2024-10-06,1,0.0,0.0
wemedia_only,2024-09-30/2024-10-06,1,0.0,0.0
dual,2024-10-07/2024-10-13,5,0.0,0.2
wemedia_only,2024-10-07/2024-10-13,5,0.2,0.0
dual,2024-10-14/2024-10-20,6,0.16666666666666666,0.16666666666666666
mainstream_only,2024-10-14/2024-10-20,1,1.0,0.0
wemedia_only,2024-10-14/2024-10-20,7,0.0,0.0
dual,2024-10-21/2024-10-27,1,0.0,1.0
wemedia_only,2024-10-21/2024-10-27,4,0.25,0.25
dual,2024-11-04/2024-11-10,1,0.0,0.0
mainstream_only,2024-11-04/2024-11-10,2,0.0,0.0
wemedia_only,2024-11-04/2024-11-10,2,0.5,0.5
dual,2024-11-11/2024-11-17,2,0.0,0.0
mainstream_only,2024-11-11/2024-11-17,2,0.0,0.0
wemedia_only,2024-11-11/2024-11-17,7,0.42857142857142855,0.42857142857142855
dual,2024-11-18/2024-11-24,1,0.0,0.0
mainstream_only,2024-11-18/2024-11-24,1,0.0,0.0
wemedia_only,2024-11-18/2024-11-24,17,0.11764705882352941,0.11764705882352941
dual,2024-11-25/2024-12-01,2,0.0,0.0
wemedia_only,2024-11-25/2024-12-01,2,0.0,0.0
dual,2024-12-02/2024-12-08,4,0.25,0.0
mainstream_only,2024-12-02/2024-12-08,1,0.0,0.0
wemedia_only,2024-12-02/2024-12-08,7,0.14285714285714285,0.14285714285714285
