treated_id,treat_upgrade,ctrl_upgrade,treat_cooling,ctrl_cooling,treat_stable,ctrl_stable,diff_upgrade,diff_cooling,diff_stable,pair
358,0.058823529411764705,0.17857142857142858,0.0,0.46428571428571425,0.9411764705882353,0.2738095238095238,-0.11974789915966387,-0.46428571428571425,0.6673669467787116,dual_vs_mainstream_only
360,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dual_vs_mainstream_only
383,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.8333333333333334,0.3333333333333333,-0.25,0.08333333333333333,0.5,dual_vs_mainstream_only
388,0.2,0.1111111111111111,0.1,0.09523809523809523,0.4,0.6428571428571429,0.0888888888888889,0.004761904761904773,-0.24285714285714288,dual_vs_mainstream_only
398,0.2,0.43333333333333335,0.0,0.09999999999999999,0.8,0.39999999999999997,-0.23333333333333334,-0.09999999999999999,0.4000000000000001,dual_vs_mainstream_only
404,0.0,0.05128205128205129,0.0,0.08831908831908832,1.0,0.809116809116809,-0.05128205128205129,-0.08831908831908832,0.19088319088319095,dual_vs_mainstream_only
406,0.25,0.4666666666666666,0.25,0.06666666666666667,0.5,0.26666666666666666,-0.21666666666666662,0.18333333333333335,0.23333333333333334,dual_vs_mainstream_only
423,0.5,0.0,0.0,0.5,0.0,0.5,0.5,-0.5,-0.5,dual_vs_mainstream_only
431,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,-0.6666666666666666,dual_vs_mainstream_only
503,0.2,0.05555555555555555,0.2,0.027777777777777776,0.0,0.5,0.14444444444444446,0.17222222222222222,-0.5,dual_vs_mainstream_only
515,0.0,0.06666666666666667,0.0,0.06666666666666667,1.0,0.8666666666666667,-0.06666666666666667,-0.06666666666666667,0.1333333333333333,dual_vs_mainstream_only
517,0.18181818181818182,0.0,0.18181818181818182,0.0,0.45454545454545453,1.0,0.18181818181818182,0.18181818181818182,-0.5454545454545454,dual_vs_mainstream_only
