user_name,out_weight,in_weight,out_neighbors,in_neighbors,total_weight
健康中国,0,22,0,15,22
宝宝猫嗷污,1,21,1,21,22
同花顺,0,22,0,15,22
忘我在,1,21,1,21,22
FLOOR_Ning,10,12,1,2,22
夜满月Crystal,22,0,10,0,22
麦可依然香饽饽,22,0,14,0,22
人民日报海外版-海外网,0,22,0,22,22
王言嘉-,0,21,0,15,21
开疆扩土特狼普,21,0,15,0,21
猴大宝,0,21,0,19,21
横卧的灰狸,0,21,0,21,21
周易书院-玄明子,0,21,0,16,21
中铳钞,0,21,0,19,21
洋葱军事新闻,0,21,0,21,21
中医刘睿,3,18,2,17,21
ATAO颜值上分中,2,19,2,19,21
新浪健康,1,20,1,20,21
林中松鼠花间蝶,21,0,4,0,21
当归拉法_Dr段,10,11,4,8,21
尹克伦观天下,1,20,1,19,21
不想上班嘤嘤嘤_12,0,21,0,20,21
浙江日报,0,21,0,21,21
中医黄锐,7,14,1,9,21
陀螺不自转,21,0,7,0,21
中国青年报,0,21,0,21,21
网易健康,0,20,0,20,20
吉林大冷面,0,20,0,17,20
爱塌爱光的star同样爱芭比,20,0,15,0,20
反对新世界秩序,20,0,13,0,20
maisui114404,20,0,2,0,20
不如不曾来,20,0,17,0,20
小热点大聚焦,0,20,0,20,20
了不起的中国制造,1,19,1,19,20
陈总是搞事,5,15,5,14,20
照完镜子正衣冠,2,18,1,14,20
小猪爱点评,0,20,0,20,20
加班十五夜,0,20,0,20,20
沈阳铁路,0,20,0,17,20
lavender-loyal,20,0,12,0,20
随风荡事,19,0,5,0,19
徐归尘,19,0,9,0,19
环球音乐集团,0,19,0,19,19
中国网,0,19,0,18,19
yuankong198610,19,0,15,0,19
日本沙雕日常,15,4,1,4,19
无边桃炎,2,17,1,14,19
切仔1025,19,0,15,0,19
央视网,0,19,0,15,19
汉唐长安中医郭仲凯,19,0,12,0,19
老出差的程序员,0,19,0,19,19
九九_75209,19,0,9,0,19
蓝帆小蓝,1,18,1,18,19
麻醉医生凌楚眠,1,18,1,18,19
豆豆的口水流下来了,18,0,5,0,18
裸奔巴黎,0,18,0,18,18
瘦不了的中医肥猫,5,13,2,7,18
