source_user,target_user,weight,n_topic_direct,n_repost_mapped
MaoTaiPianzhi茅台片仔癀,MaoTaiPianzhi茅台片仔癀,4,1,3
用户7310057755,大耳朵中医,4,0,4
卧龙山人168,中医田应旭,4,0,4
用户7821370827,中医妇儿林波,4,1,3
旷世废材,生草字幕组,4,1,3
用户6225589040,李贵明-医生,4,0,4
用户7821370827,上帝之鹰_5zn,4,4,0
竹庄讲道,潇湘晨报,4,4,0
敷着面膜的太阳YM已撤销,敷着面膜的太阳YM已撤销,4,4,0
遇见半夏温暖,中医范圣华,4,0,4
竹庄讲道,九派新闻,4,4,0
酸苗双拒,中医田应旭,4,0,4
当归拉法_Dr段,南海客尘,4,4,0
周易总合网诊,代县胡永胜,4,0,4
竹外小溪深处,上帝之鹰_5zn,4,0,4
明东征提督李如松,答案事务所,4,0,4
阳明堡镇全科名医,代县胡永胜,4,0,4
贾永亮中西结合,代县胡永胜,4,0,4
yizhenshi,生草字幕组,4,0,4
薄雾阳光2,中医田应旭,4,2,2
-折骨成诗-,生草字幕组,4,1,3
appa325,大耳朵中医,4,0,4
清风明月尾,生草字幕组,4,0,4
ddirenedd,陕西汉书下酒,4,0,4
sanna-sanna,sanna-sanna,4,0,4
dandelion珊珊,生草字幕组,4,0,4
山西名医海燕,代县胡永胜,4,0,4
Blue_Ruby,洛爷William,4,0,4
kiss禕吻定情_,鞠婧祎_Official,4,4,0
让正义休息一会,用户2733751065,4,4,0
清醒梦境waiting,大耳朵中医,4,0,4
小傲宇,祖传中医肖春林,4,1,3
悟空7397353618,陕西汉书下酒,4,0,4
顾静679,中医田应旭,4,0,4
沐心月儿,大耳朵中医,4,0,4
跑火车的NINOMI,生草字幕组,4,0,4
MaoTaiPianzhi茅台片仔癀,中医张恒毅,4,1,3
coolfoodformyself,陕西汉书下酒,4,0,4
呱呱不是咕咕,呱呱不是咕咕,4,2,2
庐阳正道,安徽反邪教,4,2,2
笙笙bingo,中医张恒毅,4,0,4
蔻蔻cyf,陕西汉书下酒,4,0,4
琉璃瓶的记忆-,捕捉一只野生章鱼,4,2,2
用户6199982665,中医田应旭,4,0,4
JackieAUS1688,洛爷William,4,0,4
郝建华女士,代县胡永胜,4,0,4
制心一处万物同频,林步里,4,4,0
清澈小鱼,大耳朵中医,4,0,4
清澈晏峤苍兰,生草字幕组,4,1,3
napoleonchn,生草字幕组,4,0,4
朱漆方台,三个老爸实验室,4,1,3
妈咪的琦琦殿下,林步里,4,4,0
喜欢追逐黄昏,祖传中医肖春林,4,1,3
我不了解你说的情况,生草字幕组,4,0,4
麦可依然香饽饽,Jokielicious,4,0,4
怒领便当的cc君,生草字幕组,4,1,3
凝聚神与心建此不夜城,Creamy蕉,4,0,4
大石头章鱼小丸子,保险狂人-于文博,4,0,4
河边的蓝色小猫,生草字幕组,4,0,4
站在窗台前看风景,生草字幕组,4,1,3
核聚变ju,钉子1666,4,1,3
没有哲理的真理,洛爷William,4,0,4
Sino赛诺菲,生草字幕组,4,0,4
平安龙港,平安温州,4,0,4
Kero_Karroy,生草字幕组,4,0,4
oliviatian,生草字幕组,4,0,4
糖心丝语,陕西汉书下酒,4,0,4
jrry86,林步里,4,4,0
慕晚儿2021,上帝之鹰_5zn,4,0,4
精彩东方,精彩东方,4,2,2
食也性也玩也,大耳朵中医,4,0,4
K女士lay辽,生草字幕组,4,2,2
成垚敬龄_日练金刚夜长寿,中医田应旭,4,0,4
夕阳月色美,中医田应旭,4,0,4
-铃魂转生-,生草字幕组,4,1,3
ousmz,中医田应旭,4,0,4
张金修721,大耳朵中医,4,0,4
蒲公荚荚,飞龙中医,4,0,4
王二姑娘今天离婚了吗,王二姑娘今天离婚了吗,4,0,4
外村樱,生草字幕组,4,1,3
何必Helena,上帝之鹰_5zn,4,0,4
多吃蓝莓胡萝卜,多吃蓝莓胡萝卜,4,2,2
安贝尔餐饮店,代县胡永胜,4,0,4
一二三Jane,陳炫達叔叔,4,4,0
一只小扁饼蛋糕_,小蓝和他的朋友日常,4,0,4
蒲城何源,蒲城检察,4,0,4
定心安神,得意的弦小二,4,0,4
张作风流行病学教授UCLA,张作风流行病学教授UCLA,4,0,4
用户6530793101,大耳朵中医,4,0,4
一块板的距离,Jokielicious,4,2,2
意志力无下限的废物,Jokielicious,4,0,4
幸福春天_空灵,答案事务所,4,0,4
Sn雪舞倾城,祖传中医肖春林,4,1,3
止谣君,止谣君,4,0,4
义安警方,铜陵公安在线,4,0,4
平衡定力,生草字幕组,4,0,4
从前她有一个可爱的ID,飞龙中医,4,0,4
想着天妃宫,想着天妃宫,4,0,4
时光娃娃616,生草字幕组,4,0,4
未眠_13,捕捉一只野生章鱼,4,2,2
高茜cc儿,中医田应旭,4,0,4
baby-unicorn,拍帮主,4,4,0
寥寂忧愁思莼,答案事务所,4,1,3
农贸市场农副产品,代县胡永胜,4,0,4
OBOBou,生草字幕组,4,0,4
AC蓦然回首,AC蓦然回首,4,4,0
巨型宇宙仓耗子,江卓尔_大号,4,0,4
感觉自己运气很好的七,生草字幕组,4,0,4
今日剑川,中国健康教育官方微博,4,4,0
新媒网络公司,代县胡永胜,4,0,4
玄牡之域的神妓Dioskouri,生草字幕组,4,1,3
冰哥哥020,小葵花枫帅,4,0,4
野比大雄,生草字幕组,4,0,4
葉桜·,生草字幕组,4,0,4
玄森林,大耳朵中医,4,0,4
桂哥猎手VIP777,桂哥猎手VIP777,4,0,4
cg_xiaoyi,中医田应旭,4,0,4
宸坤嘻嘻宝宝,大耳朵中医,4,0,4
刀叔007,泉网视角,4,0,4
beierbeier123,马宝琳谈房颤,4,0,4
斯莱妮,江卓尔_大号,4,0,4
用户7438824714,大耳朵中医,4,0,4
洛夜芯,明净芷心,4,0,4
小新啊ing,钉子1666,4,0,4
