source_user,target_user,weight,n_topic_direct,n_repost_mapped
abikafka,生草字幕组,1,0,1
aber艾伯,生草字幕组,1,0,1
abcdefghi_lmnopqrstu_wxyz,娱头,1,0,1
abc123jack,生草字幕组,1,0,1
abc-2023,观察者网,1,0,1
abalabalahei,abalabalahei,1,1,0
abacus09,Rachele瑞丽,1,0,1
ablazesky,阿司匹林42195米,1,0,1
_风敛余香,紫府求真,1,0,1
_顾墨_,生草字幕组,1,0,1
_韩苏苏苏_,生草字幕组,1,0,1
_静水_流深,陕西汉书下酒,1,0,1
_青金_,方脑壳邓铂鋆,1,1,0
_青金_,ZAKER,1,1,0
_青橘馅,阿司匹林42195米,1,0,1
a_yunerr,王浣熊的生活日记,1,1,0
_霁苍,生草字幕组,1,0,1
_雨点君,生草字幕组,1,0,1
_隐隐隐于小山林_,生草字幕组,1,0,1
_陳迦南,生草字幕组,1,0,1
_陳大菊,阿司匹林42195米,1,0,1
_陪月亮熬夜,观察者网,1,0,1
_陈一凡_,红山晚报,1,0,1
_阿鬼咕咕咕,AC蓦然回首,1,1,0
_青子酱_,生草字幕组,1,0,1
a_moe,生草字幕组,1,0,1
a_cereal_burial,a_cereal_burial,1,1,0
a_aduna_a,阿司匹林42195米,1,0,1
aKelp海带,生草字幕组,1,0,1
aKKiii王大可,阿司匹林42195米,1,0,1
aJ171717,阿司匹林42195米,1,0,1
_龙麻麻,腾讯新闻财约你,1,0,1
_龙麻麻,不再拿螺丝戳你了,1,1,0
_香川,阿司匹林42195米,1,0,1
_鹤山迷_,生草字幕组,1,0,1
_鳥-爺_,北京大峰峰,1,0,1
_魚板OAO没有在怕的吼,生草字幕组,1,0,1
_魇来,答案事务所,1,0,1
_骨de喵宁,Jokielicious,1,0,1
_骐骥,专业戳轮胎熊律师,1,1,0
_馬啃菠蘿_,止谣君,1,0,1
_馥遠_,赵思家Scarlett,1,0,1
_黑蛾_,生草字幕组,1,0,1
battlefield_friend_y,生草字幕组,1,0,1
basing,冷静_1980,1,1,0
barethumb,阿司匹林42195米,1,0,1
bard_jy,生草字幕组,1,0,1
baobeibaby宝宝,静姐姐吃的学问,1,0,1
baobab5852655640,贝壳财经,1,0,1
bao_zha无,种草达人猪哥,1,0,1
angelbaets,医者思远,1,1,0
ballban_铅笔,生草字幕组,1,0,1
balancedoll,韬闻,1,1,0
balancedoll,观察者网,1,0,1
balancedoll,英国那些事儿,1,1,0
baka哟,卢卡斯-Wang,1,0,1
bairuide,星话大白,1,0,1
bairgcc,生草字幕组,1,0,1
bailuzhou689,凤凰鉴证组FH,1,0,1
bananekatze,生草字幕组,1,0,1
beer9119,t0mbkeeper,1,1,0
becshaw,阿司匹林42195米,1,0,1
beckbowie背壳抱椰,林步里,1,1,0
bebrave113,大耳朵中医,1,0,1
bebopbot,止谣君,1,0,1
beauty_rush,生草字幕组,1,0,1
beardpapa1025,电影拆台君,1,0,1
bazingaday,人民日报,1,0,1
bdx86,凤凰网视频,1,0,1
bcftpnn,小蓝和他的朋友日常,1,0,1
bbnana温暖,生草字幕组,1,0,1
bblinkblink,生草字幕组,1,0,1
bbj治bbj,观察者网,1,0,1
bbbykw_,生草字幕组,1,0,1
bbbxxxkkk,阿司匹林42195米,1,0,1
bbbbiiiiuuuu,生草字幕组,1,0,1
bea-mo,生草字幕组,1,0,1
baby-unicorn,周亮的口罩,1,1,0
baby-unicorn,中铳钞,1,1,0
baby-unicorn,baby-unicorn,1,1,0
baby-unicorn,Apocalypse-锐,1,1,0
babuhk,阿司匹林42195米,1,0,1
baba小杨梅,电影拆台君,1,0,1
babalalalili,阿司匹林42195米,1,0,1
baicai末日世界,阿司匹林42195米,1,0,1
b1ackM,静姐姐吃的学问,1,0,1
a飞的森林,生草字幕组,1,0,1
a雨洪a微信,中国新闻网,1,1,0
a美好时光呐,答案事务所,1,0,1
a睛天娃娃_62804,人民日报,1,0,1
a百里桑桑,止谣君,1,0,1
a琥珀山庄,马宝琳谈房颤,1,0,1
a珀命的珀是琥珀君,生草字幕组,1,0,1
b2836,阿司匹林42195米,1,0,1
baekoa,生草字幕组,1,0,1
backyliang,新浪健康派,1,1,0
bachelor111222,卢卡斯-Wang,1,0,1
baby小歆歆,静姐姐吃的学问,1,0,1
baby寳兒ll,马宝琳谈房颤,1,0,1
babysheep,静姐姐吃的学问,1,0,1
babyface小刘海儿,静姐姐吃的学问,1,0,1
baby-unicorn,新浪厦门,1,1,0
baby_cleo,我是小妖怪的人,1,0,1
baby-unicorn,雪冰杰,1,1,0
baby-unicorn,赤胆忠心Moss酱,1,1,0
baby-unicorn,环球时报,1,1,0
baby-unicorn,熊猫白露,1,1,0
baby-unicorn,江卓尔_大号,1,1,0
baby-unicorn,林步里,1,1,0
baby-unicorn,星话大白,1,1,0
babybabybabybabybaby_babyta,阿司匹林42195米,1,0,1
biuuer,生草字幕组,1,0,1
biubiu111111,答案事务所,1,0,1
bitethedus,生草字幕组,1,0,1
biscuittin,生草字幕组,1,0,1
bir_dy,生草字幕组,1,0,1
bingsiyuxiang,针灸匠张宝旬,1,1,0
bingqilin2008,zhenyuncai,1,0,1
beetle_d,阿司匹林42195米,1,0,1
billy38918,大耳朵中医,1,0,1
big胆不怂怂,全景网,1,0,1
bigsquares,生草字幕组,1,0,1
bigpanda203,马宝琳谈房颤,1,0,1
bigearwax,生草字幕组,1,0,1
bigcoco_momo,马宝琳谈房颤,1,0,1
bigbird688,我是小妖怪的人,1,0,1
bibicho,得意的弦小二,1,0,1
billy游游,养鸡大王欧阳铁柱,1,1,0
blogsblog,钉子1666,1,0,1
blinggg_bling,生草字幕组,1,0,1
blingbling的小良子,生草字幕组,1,0,1
blingbling尘埃修行,生草字幕组,1,0,1
blindate,阿司匹林42195米,1,0,1
bleuwy,生草字幕组,1,0,1
bleedingorange,阿司匹林42195米,1,0,1
biyou2706,中国日报,1,0,1
black马丽,生草字幕组,1,0,1
blackswan_lfa,娱头,1,0,1
blacker518,生草字幕组,1,0,1
black-whale,答案事务所,1,0,1
bjlmmt,Makh_Yan,1,1,0
bjleiyan,钉子1666,1,0,1
bjjxu2024,大耳朵中医,1,0,1
bjbjwdszzml,日本傻事,1,0,1
blblhkkkk,生草字幕组,1,0,1
belle-cavan,马宝琳谈房颤,1,0,1
belle-cavan,医路向前巍子,1,0,1
belinda_tao,中国日报网,1,0,1
believerGod,大胖d儿子,1,0,1
believablehua,梅子在想什么,1,0,1
bekko_haaaan,生草字幕组,1,0,1
beimingyu08,静姐姐吃的学问,1,0,1
bibbleuuu,生草字幕组,1,0,1
beifang1980,生草字幕组,1,0,1
beifang1980,历史冷幽默,1,0,1
beierbeier123,阿司匹林42195米,1,0,1
beierbeier123,杨帆教授,1,0,1
behindcat,针灸匠张宝旬,1,1,0
befruitful,befruitful,1,1,0
beforeNafter,人民日报,1,0,1
bee酱_,生草字幕组,1,0,1
beifeng888,阿司匹林42195米,1,0,1
biang9biang,我是小妖怪的人,1,0,1
bh常年无节操,上帝之鹰_5zn,1,0,1
bfwqqlfsl,生草字幕组,1,0,1
bezhu_,生草字幕组,1,0,1
bewhattt,生草字幕组,1,0,1
bettslove,阿司匹林42195米,1,0,1
betteh,马宝琳谈房颤,1,0,1
betteh,钉子1666,1,0,1
bellkids,马宝琳谈房颤,1,0,1
bessiestar_小小,生草字幕组,1,0,1
ber妈,人民日报,1,0,1
bensonic,止谣君,1,0,1
bennylee,照完镜子正衣冠,1,1,0
bengbengpabeng,阿司匹林42195米,1,0,1
beneighbor,生草字幕组,1,0,1
bemyshrink,阿司匹林42195米,1,0,1
bellzhy,大耳朵中医,1,0,1
bestalare,生草字幕组,1,0,1
aojiao_zhi,静姐姐吃的学问,1,0,1
aoikitoiki,生草字幕组,1,0,1
aohayo_,观察者网,1,0,1
aofei奥飞,张张科普健康,1,1,0
an安飛雪an,子午侠士,1,1,0
anzhitinglan2017,阿妹壮士,1,1,0
anzhitinglan2017,中医田应旭,1,0,1
a沙陀99,杨帆教授,1,0,1
any--tzzbye,生草字幕组,1,0,1
anui_错觉相关,哈哈哈哈哈哈和呵呵呵呵呵,1,1,0
antiyaoism,阿司匹林42195米,1,0,1
antireport,阿司匹林42195米,1,0,1
antimushroomism,西雅图黄都督,1,1,0
antie,庚白星君,1,1,0
anthony564967,中事,1,0,1
anthony477,Meta麻麻,1,0,1
anyingyiyi,北欧三宝妈,1,0,1
ariel-ustb,中医杨桢,1,0,1
argo,麻省理工科技评论,1,0,1
areux,三根三毛,1,1,0
arelive5231314,WS偏执狂,1,0,1
arche大宝贝,种草达人猪哥,1,0,1
arbowgg,生物狗Y博,1,0,1
arashiruby,生草字幕组,1,0,1
aou米妮小隳,武汉身边事,1,0,1
aq8888888,生草字幕组,1,0,1
apple小萍果,生草字幕组,1,0,1
appa325,方脉守时,1,0,1
apoptoxin_4869,三个老爸实验室,1,0,1
apollodf,观察者网,1,0,1
apolar,生草字幕组,1,0,1
apolar,Jokielicious,1,0,1
ap001,生草字幕组,1,0,1
aq阿琦_,小蓝和他的朋友日常,1,0,1
anite想一想,钉子1666,1,0,1
anitajohn,人民日报,1,0,1
anita_azure,答案事务所,1,0,1
anita0661,陕西汉书下酒,1,0,1
angle_1396,祖传中医肖春林,1,0,1
angen20863,静姐姐吃的学问,1,0,1
angel安淇儿,生草字幕组,1,0,1
antengma,甘肃刘维忠,1,1,0
angelwc初大宝,枫太,1,1,0
angelwc初大宝,摄影师李白兔子,1,1,0
angelwc初十二点五,止谣君,1,0,1
angelwc初十二点五,大佬甜成草莓蛋糕,1,0,1
angelwc初十二点五,MissU安安,1,0,1
angelqlj,得意学堂岱珈,1,0,1
angell雪蜜兒,答案事务所,1,0,1
angellubabylu露,马宝琳谈房颤,1,0,1
angelwei214,生草字幕组,1,0,1
antarcticpharmacy,生草字幕组,1,0,1
anson12306,观察者网,1,0,1
anshuiyuer,阿司匹林42195米,1,0,1
anshdgzejz,生草字幕组,1,0,1
anranhh101,阿司匹林42195米,1,0,1
anonees,生草字幕组,1,0,1
ann微笑2000,答案事务所,1,0,1
annnnnnless,swu宋明,1,0,1
anjingacg,中医田应旭,1,0,1
annie玛,静姐姐吃的学问,1,0,1
annieliuling,中医唐伟,1,0,1
annie57131,香港商報網,1,0,1
anni-anji,生草字幕组,1,0,1
anna化碟,阿司匹林42195米,1,0,1
anna-纾伊,中医刘茜檬,1,0,1
anlee1,观察者网,1,0,1
anjingacg,钉子1666,1,0,1
annie玛,马宝琳谈房颤,1,0,1
ayu的精灵,生草字幕组,1,0,1
ayuqinge,三个老爸实验室,1,0,1
ayue一路上有你,罗大伦,1,1,0
ayscn,我是小妖怪的人,1,0,1
ayqiuqiu,内含子,1,1,0
ayite_,生草字幕组,1,0,1
ayakiiii,生草字幕组,1,0,1
ariel-ustb,卢卡斯-Wang,1,0,1
axsbel,哈布斯堡长脸,1,1,0
awudgs,得意的弦小二,1,0,1
avril虫虫虫小,观察者网,1,0,1
avnlla,喀斯特地带,1,1,0
autumn-fruit,阿司匹林42195米,1,0,1
auto木头人,阿司匹林42195米,1,0,1
authersk,生草字幕组,1,0,1
authersk,止谣君,1,0,1
axsbel,生草字幕组,1,0,1
a晚风也不等人,沈阳消防,1,0,1
a手心a,得意的弦小二,1,0,1
a怨杨柳,昌吉王者,1,0,1
a忆宝825,蒲城检察,1,0,1
a微博cv互粉chaff,生草字幕组,1,0,1
a就是乱码,生草字幕组,1,0,1
a多言数穷不如守中,马宝琳谈房颤,1,0,1
ayyyyya_www,Creamy蕉,1,0,1
a多言数穷不如守中,中医张恒毅,1,0,1
a多言数穷不如守中,中医刘茜檬,1,0,1
a多言数穷不如守中,不zuo的ph-4,1,1,0
a啾啾咕噜啾啾比巴卜,生草字幕组,1,0,1
a向左平移一个单位长度z,刘新征,1,1,0
a何处春江无月明a,Jokielicious,1,0,1
azwgqaz,中国日报网,1,0,1
azara啊,阿司匹林42195米,1,0,1
a多言数穷不如守中,林步里,1,1,0
askurau,止谣君,1,0,1
ashinarain,生草字幕组,1,0,1
ashes缓缓,我是小妖怪的人,1,0,1
asforme,答案事务所,1,0,1
asdkunmetfd,生草字幕组,1,0,1
asdfg782239,生草字幕组,1,0,1
asceticismasceticism,钉子1666,1,0,1
austingg,止谣君,1,0,1
arthas不流泪,生草字幕组,1,0,1
artboychina,nipponcom,1,0,1
arilakkumashouldbehappyright,生草字幕组,1,0,1
ariexo2,答案事务所,1,0,1
arielaura_,生草字幕组,1,0,1
ariel-ustb,阿司匹林42195米,1,0,1
ariel-ustb,电影拆台君,1,0,1
ariel-ustb,止谣君,1,0,1
artificialhumanbing,生草字幕组,1,0,1
aumansha_570,医伴旅,1,1,0
august_8m,阿司匹林42195米,1,0,1
audreycathy,生草字幕组,1,0,1
aucdhg,生草字幕组,1,0,1
at杳杳,三个老爸实验室,1,0,1
at工口小魚专用bot,生草字幕组,1,0,1
atya_,答案事务所,1,0,1
atwalden,娱头,1,0,1
askurau,生草字幕组,1,0,1
atigercub,红星新闻,1,0,1
as柠檬不酸,GEM鄧紫棋,1,1,0
asvivi,观察者网,1,0,1
asunbb,上帝之鹰_5zn,1,0,1
astralllll,阿司匹林42195米,1,0,1
astralllll,生草字幕组,1,0,1
astm2000_cn,生草字幕组,1,0,1
aslqyx,生草字幕组,1,0,1
atmwqq,生草字幕组,1,0,1
_Gedeschnnn,马宝琳谈房颤,1,0,1
_Ezenicee,生草字幕组,1,0,1
_Everything_o,静姐姐吃的学问,1,0,1
_Everymonment,马宝琳谈房颤,1,0,1
_Everymonment,上帝之鹰_5zn,1,0,1
_EQUAlizer,饺子皮酱,1,0,1
_Dilala_,生草字幕组,1,0,1
_瞭望181631,祖传中医肖春林,1,0,1
_D_lukati,生草字幕组,1,0,1
_DETACH-MENT-,中国新闻报,1,0,1
_CurtainCall_,阿司匹林42195米,1,0,1
_Ctrl青檸薄荷糖X,加班十五夜,1,1,0
_Chapia_,生草字幕组,1,0,1
_Btou_,生草字幕组,1,0,1
_Bohemian_Rhapsody,人民日报,1,0,1
_BneCu,生草字幕组,1,0,1
_December13th,生草字幕组,1,0,1
_Klyootbum-,生草字幕组,1,0,1
_Kkciiz,生草字幕组,1,0,1
_Kiririn_,生草字幕组,1,0,1
_Kingwii,生草字幕组,1,0,1
_Kiki是7,我是小妖怪的人,1,0,1
_Ke--,生草字幕组,1,0,1
_KPX_今天课题有线索了吗,答案事务所,1,0,1
_HUANGMINJUN_,阿司匹林42195米,1,0,1
_KPX_今天课题有线索了吗,止谣君,1,0,1
_KH无限退步,生草字幕组,1,0,1
_Joyyyyy_,生草字幕组,1,0,1
_JAM_zakka,阿司匹林42195米,1,0,1
_Iamtheluckiest_,阿司匹林42195米,1,0,1
_INSATIABLE_,三个老爸实验室,1,0,1
_Hyeyoun9for3ver,钉子1666,1,0,1
_Hyaline_,生草字幕组,1,0,1
_KPX_今天课题有线索了吗,生草字幕组,1,0,1
Z小珏,得意的弦小二,1,0,1
Z君今天不开心,止谣君,1,0,1
Z健-EDS,观察者网,1,0,1
Z不若如初,得意学堂岱珈,1,0,1
Zz隔夜大妖子,生草字幕组,1,0,1
Zz沧海蓝湮oO,生草字幕组,1,0,1
Zz张思思,静姐姐吃的学问,1,0,1
_BlindingLights_,生草字幕组,1,0,1
Zzzzz疯狂睡觉中,生草字幕组,1,0,1
Zzzhuan-,阿司匹林42195米,1,0,1
ZzzashzzZ,香港中通社,1,0,1
ZzzQ丶,生草字幕组,1,0,1
ZzYoyo2021,答案事务所,1,0,1
ZzY_紫叶,生草字幕组,1,0,1
ZxxxxOScar,答案事务所,1,0,1
Zxcvbnmgd,生草字幕组,1,0,1
Zz不开腔,CCTV国际时讯,1,1,0
_Aurelia_aurita_,生草字幕组,1,0,1
_Amnesia77,阿司匹林42195米,1,0,1
_Albatraoz_,生草字幕组,1,0,1
_Agonii_,阿司匹林42195米,1,0,1
_3Sssss_,香港中通社,1,0,1
_3ALA,止谣君,1,0,1
_3ALA,杨帆教授,1,0,1
Z庄and玥Y,北欧三宝妈,1,0,1
_1加0,生草字幕组,1,0,1
_0段岫0_,止谣君,1,0,1
_01M1,生草字幕组,1,0,1
_-日升换月落,生草字幕组,1,0,1
_-_-_-_-_-_www,现代诗人牛彪,1,1,0
_-_-_-_-_-_-_-_-_-v,生草字幕组,1,0,1
_-O0w0O-_,止谣君,1,0,1
Z自我修炼2023,阿司匹林42195米,1,0,1
_2十2,生草字幕组,1,0,1
__-我叫不高兴,答案事务所,1,0,1
_Zodiac_S,我是小妖怪的人,1,0,1
_Zeying,生草字幕组,1,0,1
_Yu02,生草字幕组,1,0,1
_Ysan_,黄濑濑濑濑,1,1,0
_Ybei,生草字幕组,1,0,1
_Xz_xZ_,烟火bx-,1,1,0
_Kotone_,生草字幕组,1,0,1
_XINDONG,大耳朵中医,1,0,1
_XIAOLIU,中国新闻网,1,0,1
_WoNgYatFunG,阿司匹林42195米,1,0,1
_VulkanSchnee_,阿司匹林42195米,1,0,1
_Verb_,生草字幕组,1,0,1
_VO1D_,卢卡斯-Wang,1,0,1
_VIVl_,生草字幕组,1,0,1
_TAI胎,生草字幕组,1,0,1
_X__PP_,阿司匹林42195米,1,0,1
____一一___,长余量化投资-个人投资者,1,0,1
_____张氏情歌,_____张氏情歌,1,0,1
_____天音,生草字幕组,1,0,1
______知道不知道,生草字幕组,1,0,1
___________昔日楼台隐君子,生草字幕组,1,0,1
___________-_,生草字幕组,1,0,1
______Y___________,生草字幕组,1,0,1
__AMors,阿司匹林42195米,1,0,1
_____-----mel,方脑壳邓铂鋆,1,0,1
___Zy___,香港中通社,1,0,1
___COz,生草字幕组,1,0,1
__Sw_,阿司匹林42195米,1,0,1
__RonRonneR__,阿司匹林42195米,1,0,1
__Oui,生草字幕组,1,0,1
__Brabra,阿司匹林42195米,1,0,1
__Aquarnihs_,生草字幕组,1,0,1
_____Josuke_____,我是小妖怪的人,1,0,1
_NSA_,生草字幕组,1,0,1
_NNNeptune_,生草字幕组,1,0,1
_NANA_000,生草字幕组,1,0,1
_Mooooomin,生草字幕组,1,0,1
_MollyMaozz,得意的弦小二,1,0,1
_Miharu,生草字幕组,1,0,1
_Mashiya,答案事务所,1,0,1
_Sweet-Bell传奇,忘忘,1,0,1
_Magi3Ri,生草字幕组,1,0,1
_MSFDC,阿司匹林42195米,1,0,1
_MSFDC,生草字幕组,1,0,1
_MSFDC,中医田应旭,1,0,1
_MINNNK,生草字幕组,1,0,1
_LifeOnMars,阿司匹林42195米,1,0,1
_LXZK_,答案事务所,1,0,1
_Kristall_,斯图卡98,1,1,0
_Maguro_,阿司匹林42195米,1,0,1
_Sonie,马宝琳谈房颤,1,0,1
_Sommerzeit_,羊角面包Sleepclaw,1,1,0
_Silver_Moon,阿司匹林42195米,1,0,1
_Sigiler,生草字幕组,1,0,1
_Scone蛋,生草字幕组,1,0,1
_SILSehun_,生物狗Y博,1,0,1
_RAYSER_MK_II_,生草字幕组,1,0,1
_Pioneer93,生命时报,1,1,0
_NinoKa,生草字幕组,1,0,1
_Paletttttttee_,生草字幕组,1,0,1
_Outsideri,种草达人猪哥,1,0,1
_Otori,生草字幕组,1,0,1
_Ofelia_,生草字幕组,1,0,1
_O98K_,中国新闻网,1,0,1
_NulL__w,生草字幕组,1,0,1
_Novadaland,7時12分hz的夜风,1,1,0
_NoTT_,生草字幕组,1,0,1
_Paragon,熊猫白露,1,1,0
ZWH-Angela,观察者网,1,0,1
ZSJ131026,生草字幕组,1,0,1
ZRloveMYlove,观察者网,1,0,1
ZRJ-,阿司匹林42195米,1,0,1
ZR-宅睿潜水专用,生草字幕组,1,0,1
ZQ无言而喻,生草字幕组,1,0,1
ZNclub,种草达人猪哥,1,0,1
Zxcvasdf0,阿司匹林42195米,1,0,1
ZNDAXYJS,人民日报,1,0,1
ZN-IN,生草字幕组,1,0,1
ZL-铃,香港商報網,1,0,1
ZK_jttz,生草字幕组,1,0,1
ZJ小跟班儿,种草达人猪哥,1,0,1
ZJHtakayama373,生草字幕组,1,0,1
ZJHtakayama373,日本xiao男孩,1,0,1
ZJHtakayama373,大表哥笔记,1,1,0
ZN_9J,生草字幕组,1,0,1
Zanegrok,寒江独钓僧,1,1,0
Zaki斯,生草字幕组,1,0,1
Zaharoooooo,生草字幕组,1,0,1
Z_只是一个人_,阿司匹林42195米,1,0,1
Z_zZ_zyL_z,阿司匹林42195米,1,0,1
ZZ-蚊,生草字幕组,1,0,1
ZZ-SERENDIPITY,观察者网,1,0,1
ZWT350628,戴爱笔,1,0,1
ZYY7D0,中国日报,1,0,1
ZYWB5998,央广网,1,1,0
ZYR快乐飞翔,静姐姐吃的学问,1,0,1
ZY-C757C,阿司匹林42195米,1,0,1
ZXYahhhhhhh,观察者网,1,0,1
ZXXAISS,生草字幕组,1,0,1
ZXR970928,马宝琳谈房颤,1,0,1
ZX-潘小猴,观察者网,1,0,1
ZYZY_1219,ZYZY_1219,1,0,1
Y悠米虾仁浓汤_,小蓝和他的朋友日常,1,0,1
Y子君Y,阿司匹林42195米,1,0,1
Y子君Y,有个梨GPT,1,0,1
Y好粥吖好粥Y,生草字幕组,1,0,1
Y大班,生草字幕组,1,0,1
Y勇罩莆暮城,中国日报,1,0,1
Yzz_01,阿司匹林42195米,1,0,1
ZJHtakayama373,Creamy蕉,1,0,1
Yyouso,生草字幕组,1,0,1
Yyouna974y,止谣君,1,0,1
Yyouna974y,得意的弦小二,1,0,1
Yyouna974y,上帝之鹰_5zn,1,0,1
Yvonnewywy,阿司匹林42195米,1,0,1
YvonneChang0930,都市条形码,1,1,0
Yvonne-Star,钉子1666,1,0,1
Yu是二十四二十六,生草字幕组,1,0,1
YzhPInk,呼吸专家儿科主任鲍慧玲,1,0,1
ZHaO-o-Xx,阿司匹林42195米,1,0,1
ZHU晋川,Jokielicious,1,0,1
ZHR_Daydream_ing,_束缚的猫,1,1,0
ZHI-END,生草字幕组,1,0,1
ZHAOYUCN,陨石之谜123,1,0,1
ZHANGXX-張,人民日报,1,0,1
ZG先生L,罗百竹,1,0,1
ZFEZHY,生草字幕组,1,0,1
Y昵称Y,江卓尔_大号,1,0,1
ZBAARWY01_,阿司匹林42195米,1,0,1
ZAP89,生草字幕组,1,0,1
Z3hhy,阿司匹林42195米,1,0,1
Z3X_XO,生物狗Y博,1,0,1
Z1T2T3T,阿司匹林42195米,1,0,1
Y鸟H,国是直通车,1,0,1
Y车评_李扬,我是小妖怪的人,1,0,1
Y浅夏N,得意的弦小二,1,0,1
ZEEKO,生草字幕组,1,0,1
Zoey十一,卢卡斯-Wang,1,0,1
Zoeyolk,阿司匹林42195米,1,0,1
Zoeyolk,生草字幕组,1,0,1
Zoexie嘟嘟猪,三思逍遥,1,0,1
Zoeuuuwana,zhenyuncai,1,0,1
Zoeahahaha,静姐姐吃的学问,1,0,1
Zoe_CUSO4,观察者网,1,0,1
Zaza焦糖泡泡,三个老爸实验室,1,0,1
Zoe-佐伊,生草字幕组,1,0,1
Zodzod_张浩,生草字幕组,1,0,1
ZodiacG,生草字幕组,1,0,1
ZodiacG,止谣君,1,0,1
ZoYoYoGE,生草字幕组,1,0,1
Znoca,答案事务所,1,0,1
Zndx20030302,静姐姐吃的学问,1,0,1
Zmxzx,有事问彭叔,1,0,1
Zoe_25109,西西弗评论,1,1,0
Zvezda_w,Byebitch,1,1,0
Zurich2U,三个老爸实验室,1,0,1
Zur_G,人民日报,1,0,1
Zswelt10887,钉子1666,1,0,1
Zqq_琴琴,上帝之鹰_5zn,1,0,1
Zoyiyi酱,凤凰网视频,1,0,1
ZouYuan,阿司匹林42195米,1,0,1
Zoe一片云,生草字幕组,1,0,1
Zootopia智取兔警花,静姐姐吃的学问,1,0,1
Zootopia智取兔警花,生草字幕组,1,0,1
Zoooombi,生草字幕组,1,0,1
Zonetan_ver1022,生草字幕组,1,0,1
Zone_无终,答案事务所,1,0,1
Zolanski_Y,生草字幕组,1,0,1
Zohlen,生草字幕组,1,0,1
Zoe娅锟,阿司匹林42195米,1,0,1
ZouYuan,生草字幕组,1,0,1
Zero__晓渔3,生草字幕组,1,0,1
ZeroTwoooo2003,钉子1666,1,0,1
ZeroScoreBoi,阿司匹林42195米,1,0,1
Zeratulag-,生草字幕组,1,0,1
Zeratulag-,Jokielicious,1,0,1
Zenobruto,韩松,1,1,0
Zenobruto,生草字幕组,1,0,1
Zkyqs-,生草字幕组,1,0,1
Zenobruto,止谣君,1,0,1
Zenobruto,极客红石,1,0,1
Zenobruto,拍帮主,1,1,0
ZenobiaJane,生草字幕组,1,0,1
Zendy1,Rachele瑞丽,1,0,1
Zelenaa昂,生草字幕组,1,0,1
Zefor,答案事务所,1,0,1
Zeb-羽,生草字幕组,1,0,1
Zenobruto,浙江日报,1,1,0
ZireDarakhatanZeyton,生草字幕组,1,0,1
Zinnia-list,静姐姐吃的学问,1,0,1
Zinnia-list,生草字幕组,1,0,1
Zhu_WIcky,爱国青年刘战神,1,0,1
Zhu_WIcky,止谣君,1,0,1
Zhu-Meimei,生草字幕组,1,0,1
Zhou男樣,止谣君,1,0,1
Zhenshou__,生草字幕组,1,0,1
Zero_石川,生草字幕组,1,0,1
ZhengJ_,方脑壳邓铂鋆,1,1,0
Zhanzhan小米,得意的弦小二,1,0,1
ZhUI-976648,钉子1666,1,0,1
ZftDYw,一天一篇经济学人翻译,1,0,1
ZetaPlusEX,生草字幕组,1,0,1
Zeta0311,生草字幕组,1,0,1
Zero的畅所欲言,观察者网,1,0,1
Zeroyaoj,得意的弦小二,1,0,1
ZhengJ_,观察者网,1,0,1
_悅橙_,种草达人猪哥,1,0,1
_微博用户15217821478,祖传中医肖春林,1,0,1
_彤云岫mio_,种草达人猪哥,1,0,1
_张小宣,人民日报,1,0,1
_开到荼靡,答案事务所,1,0,1
_建锋,钉子1666,1,0,1
_康鹏_,阿司匹林42195米,1,0,1
____崇尧,生草字幕组,1,0,1
_带着梦想去旅行_,观察者网,1,0,1
_希真_,生草字幕组,1,0,1
_希尔巴贡_,生草字幕组,1,0,1
_山中若有眠,生草字幕组,1,0,1
_尚风_,生草字幕组,1,0,1
_尖叫王八_白玉堂夫人,微博小秘书,1,1,0
_小鹅饲养员,生草字幕组,1,0,1
_小雲orz,生草字幕组,1,0,1
_幽眠,阿司匹林42195米,1,0,1
_无忧无虑YY,新民周刊,1,1,0
_新陈代谢_,阿司匹林42195米,1,0,1
_新栀_,新浪体育,1,1,0
_敲杯,生草字幕组,1,0,1
_摆度人_,生草字幕组,1,0,1
_拉拉拉拉拉_,阿司匹林42195米,1,0,1
_扼梦_,生草字幕组,1,0,1
_想吃啥就吃啥呗,阿司匹林42195米,1,0,1
_打哈欠的猫,阿司匹林42195米,1,0,1
_我的名字叫做_,小蓝和他的朋友日常,1,0,1
_我就要爆炸,林步里,1,1,0
_我在网上冲浪_,答案事务所,1,0,1
_我叫不熬夜,生草字幕组,1,0,1
_我不受欢迎怎么想都是你们的错_,生草字幕组,1,0,1
_戈多不来,种草达人猪哥,1,0,1
_感觉不会再水了,生草字幕组,1,0,1
_打狗专业户,止谣君,1,0,1
_大份薯条沾辣酱,答案事务所,1,0,1
_夜行列車,生草字幕组,1,0,1
_夏天很热_,静姐姐吃的学问,1,0,1
_壬虚浪影_,答案事务所,1,0,1
_壁花_少年_,生草字幕组,1,0,1
_塵世丶太美,生草字幕组,1,0,1
_塔里木_,生草字幕组,1,0,1
_小熊归来,阿司匹林42195米,1,0,1
_坂纯_,张忆安-龙战于野,1,0,1
_在下酥了_,生草字幕组,1,0,1
_团团团团团团团,Jokielicious,1,0,1
_喵喵小姐_,生草字幕组,1,0,1
_啊D_,阿司匹林42195米,1,0,1
_啊D_,方之夫,1,0,1
_啊D_,我是小妖怪的人,1,0,1
_哎吆刀了,答案事务所,1,0,1
