source_uid,status,n_pages,n_edges,endpoint,error
1029914170,ok,10,142,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1175214510,ok,10,163,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1222382122,ok,7,40,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1222382944,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=用户不存在(20003) url=
1239361920,ok,10,194,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1294978200,ok,10,195,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1376468550,ok,10,185,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1403612292,ok,10,171,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1562273464,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1577465050,ok,10,192,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1592229153,ok,10,193,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1597441111,ok,6,80,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1600215101,ok,10,176,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1624787217,ok,10,191,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1640489733,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1648953020,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1654077857,ok,10,177,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1663933725,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1673193460,ok,10,176,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1682880423,ok,10,195,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1684561574,ok,10,190,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1695957122,ok,4,45,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1697226881,ok,10,196,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1699245365,ok,10,186,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1708159150,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1739253960,ok,10,199,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1747071383,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1774215272,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1786148115,ok,10,197,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1786571855,ok,2,10,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1791675902,ok,10,180,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1796753123,ok,10,175,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1820001035,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1826065294,ok,10,198,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1830365851,ok,10,199,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1845527115,ok,10,193,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1846582415,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1852219841,ok,10,194,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1857345450,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
